virgin: virgins 
angstadt: angstadt 
engineer: engineer 
grind: grind 
instrumental: instrumental 
thing: thing 
versus: versus 
rich: rich 
hatred: hatred 
fat: fat 
banana: bananas 
deu: deu 
pissin: pissin 
instrumentation: instrumentation 
everything: everything 
computer: computer 
comedian: comedian 
real: real 
ii: ii 
brainless: brainless 
pikminjosh: pikminjosh 
comment: comment comments 
hardcore: hardcore 
speedy: speedy 
verse: verses verse 
book: book books 
actually: actually 
yackety: yackety 
mom: mom 
contributor: contributor contributors 
eazy: eazy 
profit: profit 
lakim: lakim 
read: read 
tryin: tryin 
spirituality: spirituality 
effigy: effigy 
hi: hi 
lil: lil 
underground: underground 
sleep: sleep 
english: english 
chin: chin 
gathering: gathering 
discrimination: discrimination 
part: parts part 
next: next 
header: headers 
ren: ren 
tough: tough 
ask: ask 
written: written 
performance: performance 
format: format 
vocalist: vocalists 
ball: ball 
comic: comic 
beezy: beezy 
confuse: confuse 
yap: yap 
alcohol: alcohol 
illest: illest 
child: childs 
parking: parking 
ballz: ballz 
style: styles 
probably: probably 
developer: developers 
valakas: valakas 
stuck: stuck 
taken: taken 
elevator: elevator 
ransom: ransom 
phasa: phasa 
bmg: bmg 
john: john 
director: director 
faders: faders 
remix: remix 
magazine: magazine 
pull: pull 
wrld: wrld 
il: il 
rk: rk 
mixing: mixing 
view: view 
musical: musical 
mc: mcs mc 
dead: dead 
rbx: rbx 
visit: visit 
though: though 
italiano: italiano 
harry: harry 
created: created 
attempt: attempt 
pad: pad 
shit: shit 
game: game games 
thestarfishy: thestarfishy 
power: power 
responded: responded 
detroit: detroit 
bumpin: bumpin 
head: head 
p: p ps 
mean: means mean 
batter: batter 
rippin: rippin 
see: see 
msn: msn 
uh: uh 
vey: vey 
accolade: accolades 
motivated: motivated 
call: call 
whether: whether 
hook: hook 
dax: dax 
choice: choice 
faster: faster 
ron: ron 
broken: broken 
different: different 
bill: bill 
remember: remember 
feelin: feelin 
bought: bought 
arabian: arabian 
fight: fight 
justin: justin 
tongo: tongo 
park: park 
maybe: maybe 
sktl: sktl 
broad: broad 
rock: rock 
titan: titans 
enough: enough 
e: es e 
jasper: jasper 
video: videos video 
story: stories 
shown: shown 
taking: taking 
featured: featured 
masterpi: masterpi 
groundhog: groundhog 
flow: flow 
nothin: nothin 
hall: hall 
word: words 
tag: tags 
label: label 
pretty: pretty 
grant: grants 
wrath: wrath 
pat: pat 
benson: benson 
keyboard: keyboards 
effect: effects 
water: water 
ordered: ordered 
ascap: ascap 
al: al 
key: key 
mater: mater 
ode: ode 
got: got 
dre: dre 
meme: memes 
rhyme: rhyme rhymes 
type: type 
acrobat: acrobat 
monster: monster 
release: release 
b: b 
jesto: jesto 
headlight: headlights 
kneel: kneel 
position: position 
vacation: vacation 
sacrifice: sacrifice 
zod: zod 
scribble: scribble 
junkie: junkie 
station: station 
hindi: hindi 
evil: evil 
premier: premier 
controversy: controversy 
askin: askin 
pray: pray 
right: rights 
changing: changing 
joe: joe 
normal: normal 
group: group 
essa: essa 
seckond: seckond 
bay: bay 
ratter: ratter 
pointless: pointless 
bmi: bmi 
flame: flames 
sticky: sticky 
intro: intro 
french: french 
earth: earth 
packed: packed 
root: root 
inadvertently: inadvertently 
x: x 
one: one 
transcriber: transcribers 
cumbagg: cumbagg 
deleted: deleted 
practicin: practicin 
away: away 
bil: bil 
lot: lot 
pac: pac 
barely: barely 
crank: crank 
mario: mario 
box: box 
policy: policy 
google: google 
shabazz: shabazz 
library: library 
publisher: publisher 
fresh: fresh 
future: future 
slim: slim 
kendrick: kendrick 
retard: retard 
reason: reason 
winchester: winchester 
etc: etc 
sell: sell 
could: could 
fran: fran 
tongue: tongue tongues 
portugu: portugu 
minute: minute minutes 
exact: exact 
palma: palma 
lose: lose 
cock: cock 
madeleine: madeleine 
holic: holic 
student: students 
end: ends 
portal: portal 
annotation: annotation 
process: process 
used: used 
dolphin: dolphin 
october: october 
bake: bake 
broke: broke 
case: case 
kun: kun 
ricochetin: ricochetin 
best: best 
cube: cube 
plank: plank 
trouble: trouble 
nutsack: nutsack 
fubba: fubba 
tre: tre 
somewhere: somewhere 
david: david 
vehicle: vehicle 
countdown: countdown 
thank: thank 
genius: genius 
metal: metal 
maranci: maranci 
flunky: flunky 
futile: futile 
people: people 
mass: mass 
sample: samples sample 
tannerzanep: tannerzanep 
day: days day 
samochodem: samochodem 
simply: simply 
press: press 
braincells: braincells 
russian: russian 
arm: arm arms 
freestyle: freestyle 
performed: performed 
mind: mind 
sound: sound 
faggot: faggots 
worked: worked 
fatal: fatal 
pt: pt 
reference: references 
mike: mike 
gap: gap 
jealous: jealous 
thejamesbyt: thejamesbyt 
packin: packin 
revolver: revolver 
bersetzungen: bersetzungen 
programmer: programmer 
long: long 
forever: forever 
curtain: curtains 
gon: gon 
firefly: firefly 
bull: bull 
lead: lead 
u: u us 
sometimes: sometimes 
edition: edition 
believe: believe 
singin: singin 
verified: verified 
thai: thai 
youthful: youthful 
n: n 
landed: landed 
rmx: rmx 
doberman: doberman 
g: g 
face: face 
warp: warp 
yella: yella 
help: help 
punchlines: punchlines 
angel: angels 
show: show 
mixed: mixed 
twenty: twenty 
maria: maria 
radke: radke 
asshole: asshole 
knowledge: knowledge 
every: every 
badd: badd 
seven: seven 
pakinamac: pakinamac 
electronic: electronic 
karl: karl 
pocket: pocket 
sesac: sesac 
make: make 
phifer: phifer 
rapped: rapped 
godzilla: godzilla 
death: death 
bar: bars 
higher: higher 
holst: holst 
brasil: brasil 
j: j 
licensing: licensing 
masterfully: masterfully 
thumb: thumbs 
german: german 
throw: throw throws 
sony: sony 
life: life 
felt: felt 
ronnie: ronnie 
elevating: elevating 
pen: pen 
italiane: italiane 
filling: filling 
pilot: pilots 
fred: fred 
killin: killin 
nod: nod 
predo: predo 
say: say 
ol: ol 
devil: devil devils 
immortal: immortal 
sure: sure 
forum: forum 
lookin: lookin 
traducciones: traducciones 
pharoahe: pharoahe 
woman: women 
said: said 
mad: mad 
cake: cake 
glad: glad 
advertise: advertise 
ai: aises ais 
conversation: conversation 
many: many 
meet: meet 
twin: twin 
additional: additional 
lyrical: lyrical 
poodle: poodle 
nothing: nothing 
bot: bot 
add: add 
wack: wack 
crew: crew 
hey: hey 
god: gods god 
appeal: appeal 
marshall: marshall 
mayweather: mayweather 
fact: fact facts 
understand: understand 
hella: hella 
guide: guide 
biza: biza 
cheek: cheek 
constructing: constructing 
swear: swear 
traduzione: traduzione 
cornrows: cornrows 
react: react 
break: break 
woken: woken 
fabolous: fabolous 
please: please 
viper: viper 
pill: pill 
school: school 
occurs: occurs 
promote: promote 
hip: hip 
thor: thor 
fucking: fucking 
kobalt: kobalt 
basically: basically 
inducted: inducted 
job: jobs 
copyright: copyright 
mainstream: mainstream 
madman: madman 
biggest: biggest 
trip: trip 
bold: bold 
doodle: doodle 
apandah: apandah 
f: f 
bottom: bottom 
maintainin: maintainin 
old: old 
cover: cover covers 
mn: mn 
contact: contact 
situation: situation 
poison: poison 
em: em 
fab: fab 
turkish: turkish 
remastered: remastered 
rifle: rifle 
lemonade: lemonade 
ml: ml 
marzbarz: marzbarz 
rapping: rapping 
trailer: trailer 
mine: mine 
production: production 
rhythm: rhythm 
period: period 
asteroid: asteroid 
also: also 
overseas: overseas 
junjews: junjews 
get: get 
wall: wall 
played: played 
kill: kill 
translation: translations translation 
robbie: robbie 
jake: jake 
traducci: traducci 
table: table 
ill: ill ills 
crackkoch: crackkoch 
feeling: feelings feeling 
church: church 
bersetzung: bersetzung 
white: white 
morphin: morphin 
dooma: dooma 
doc: doc 
comin: comin 
fastest: fastest 
ce: ce 
tribute: tribute 
keep: keeps keep 
lately: lately 
def: def 
edge: edge 
pupil: pupil 
youtube: youtube 
itr: itr 
dippity: dippity 
indecent: indecent 
chicken: chicken 
fad: fad 
cancel: cancel 
sed: sed 
njeri: njeri 
trap: trap 
fading: fading 
dio: dio 
z: z 
crunch: crunch 
record: record records 
high: high 
come: come 
disscarga: disscarga 
flyingkitty: flyingkitty 
chance: chances chance 
nitro: nitro 
supposed: supposed 
nice: nice 
mastering: mastering 
way: way ways 
product: product 
grow: grow 
least: least 
new: new 
berzerk: berzerk 
slntwlf: slntwlf 
whipmemes: whipmemes 
look: look 
krayzie: krayzie 
chaynce: chaynce 
rocker: rocker 
sock: sock 
vincent: vincent 
made: made 
keepin: keepin 
front: front 
slick: slick 
top: top 
secret: secret 
ugh: ugh 
da: da 
skill: skill skills 
career: career 
odin: odin 
beginning: beginning 
interscope: interscope 
term: terms 
rawinthevoid: rawinthevoid 
superhuman: superhuman 
levitating: levitating 
take: take 
talpa: talpa 
monch: monch 
viewed: viewed 
channel: channel 
translate: translate 
mile: mile 
og: og 
interpolate: interpolate 
whopper: whopper 
wheel: wheel 
general: general 
legend: legend 
slap: slap 
witnessin: witnessin 
hop: hop 
braggadocious: braggadocious 
livin: livin 
blow: blow 
happen: happen 
kick: kick 
embed: embed 
response: response 
aise: aise 
whole: whole 
michigan: michigan 
spoke: spoke 
hippity: hippity 
fingaz: fingaz 
aeddre: aeddre 
hustle: hustle 
jb: jb 
tried: tried 
universal: universal 
racin: racin 
campana: campana 
ft: ft 
aftermath: aftermath 
cks: cks 
ever: ever 
veleno: veleno 
rude: rude 
fame: fame 
kathy: kathy 
brat: brat 
radio: radio 
dong: dong 
three: three 
hot: hot 
strange: strange 
kidd: kidd 
since: since 
match: match 
well: well 
ultimate: ultimate 
rough: rough 
william: william 
raygun: raygun 
attack: attack 
wrong: wrong 
bitter: bitter 
mirikazizi: mirikazizi 
receive: receive 
monolyth: monolyth 
like: like 
guy: guy 
distinguish: distinguish 
million: million 
ironic: ironic 
shelly: shelly 
two: two 
better: better 
jaga: jaga 
bean: bean 
shame: shame 
piano: piano 
filthy: filthy 
rodent: rodent 
crack: crack 
hurt: hurt 
fuck: fuck 
lunchtime: lunchtime 
muzick: muzick 
chika: chika 
cii: cii 
signed: signed 
reloadin: reloadin 
dale: dale 
went: went 
sec: sec 
source: source 
need: need 
cable: cable 
consideration: consideration 
rapunzel: rapunzel 
sign: sign 
doug: doug 
q: q 
discoton: discoton 
half: half 
legacy: legacy 
motherfuckin: motherfuckin 
havin: havin 
pop: pop 
neguinho: neguinho 
davis: davis 
r: r 
place: place 
count: count 
thinking: thinking 
openly: openly 
league: leagues 
cancerfest: cancerfest 
survival: survival 
done: done 
cyfieithiad: cyfieithiad 
vibe: vibe 
gun: gun 
spanish: spanish 
asked: asked 
machine: machine 
noodle: noodle 
passion: passion 
llc: llc 
gemitaiz: gemitaiz 
walkin: walkin 
throatin: throatin 
hour: hour 
insight: insight 
switch: switches 
speed: speed 
caterpillar: caterpillar 
oy: oy 
couple: couple 
ya: ya 
ray: ray 
definitely: definitely 
expand: expand 
always: always 
studio: studios 
big: big 
hell: hell 
must: must 
deluxe: deluxe 
maxi: maxi 
satan: satan 
elektron: elektron 
recording: recording 
feel: feel 
nascar: nascar 
talkin: talkin 
pain: pain 
sister: sister 
lemon: lemons 
great: great 
portuguese: portuguese 
mac: mac 
already: already 
omar: omar 
may: may 
mistake: mistake 
repeating: repeating 
flock: flock 
dark: dark 
track: track 
til: til 
asgard: asgard 
revealed: revealed 
realized: realized 
hit: hit 
rapgod: rapgod 
gene: genes 
burrito: burrito 
knot: knot 
office: office 
publishing: publishing 
induct: induct 
work: work 
combine: combine 
comeback: comeback 
set: set 
delgiorno: delgiorno 
miller: miller 
date: date 
girl: girls 
glue: glue 
hollywood: hollywood 
underdog: underdog 
c: c 
unk: unk 
blueprint: blueprint 
segment: segment 
zombie: zombie 
skit: skit 
homage: homage 
hungry: hungry 
able: able 
skin: skin 
fast: fast 
wintrup: wintrup 
megamix: megamix 
mekhi: mekhi 
ak: ak 
inspired: inspired 
cardiff: cardiff 
spadam: spadam 
straight: straight 
robot: robot 
human: human 
emicouto: emicouto 
audience: audience 
unsigned: unsigned 
mashup: mashup 
interview: interview 
handin: handin 
stupid: stupid 
h: h 
columbine: columbine 
individual: individual 
earnhardt: earnhardt 
recovery: recovery 
stronger: stronger 
wve: wve 
demonstrating: demonstrating 
certification: certifications 
cause: cause 
pace: pace 
waguin: waguin 
lp: lp 
single: single 
shoot: shoot 
planet: planet 
everybody: everybody 
four: four 
journey: journey 
prove: prove 
know: know 
cubba: cubba 
purely: purely 
tr: tr 
personal: personal 
dragon: dragon 
pink: pink 
nuisance: nuisance 
saaf: saaf 
eminem: eminem 
transcription: transcription 
chart: charts 
might: might 
someone: someones 
hard: hard 
struggling: struggling 
tt: tts 
honest: honest 
apoligize: apoligize 
yeah: yeah 
bus: bus 
charge: charge 
occur: occur 
dude: dude 
matthew: matthew 
wacky: wacky 
brian: brian 
mr: mr 
full: full 
waiting: waiting 
utilize: utilize 
raiva: raiva 
cymraeg: cymraeg 
however: however 
italian: italian 
music: music 
dxboon: dxboon 
l: l 
really: really 
clinton: clinton 
surrounding: surrounding 
clash: clash 
lee: lee 
outta: outta 
bust: bust 
live: live 
moon: moon 
honesty: honesty 
question: question 
producer: producer 
devastating: devastating 
something: something 
flippity: flippity 
drop: drop 
gotta: gotta 
speak: speak 
lixo: lixo 
shop: shop 
espa: espa 
produced: produced 
learn: learn 
brutal: brutal 
king: king 
murder: murder 
prxjek: prxjek 
assumin: assumin 
yung: yung 
anthony: anthony 
monica: monica 
young: young 
recorded: recorded 
devonwilliams: devonwilliams 
skabzemortal: skabzemortal 
italiana: italiana 
shock: shock 
ruthless: ruthless 
ck: ck 
censor: censor 
funky: funky 
dj: dj 
backpack: backpack 
prince: prince 
ferndale: ferndale 
scholar: scholars 
fell: fell 
tiki: tiki 
seat: seat 
pinga: pinga 
fuckin: fuckin 
interpolation: interpolations 
shopping: shopping 
capable: capable 
religious: religious 
spot: spot 
quadeca: quadeca 
scratch: scratch 
edot: edot 
biggie: biggie 
lewinsky: lewinsky 
version: version 
yack: yack 
traduzioni: traduzioni 
forth: forth 
entertainment: entertainment 
trice: trice 
krypton: krypton 
watching: watching 
bomb: bombs 
rappity: rappity 
bone: bone 
atv: atv 
omnipotent: omnipotent 
special: special 
celebrating: celebrating 
