double: double 
often: often 
verse: verse 
erre: erre 
young: young 
recorded: recorded 
royce: royce 
st: st 
scholar: scholars 
drake: drake 
concord: concords 
fuckin: fuckin 
interpolation: interpolations 
version: version 
special: special 
