entitled: entitled 
attention: attention 
bag: bag 
origin: origin 
llc: llc 
nikolof: nikolof 
award: awards 
hour: hour 
insight: insight 
ya: ya 
obama: obama 
e: e 
expand: expand 
child: child 
big: big 
puttin: puttin 
april: april 
talkin: talkin 
hitman: hitman 
walka: walka 
great: great 
nuttin: nuttin 
mistake: mistake 
repeating: repeating 
master: master 
completely: completely 
shleezy: shleezy 
track: track 
seatin: seatin 
revealed: revealed 
love: love 
public: public 
hit: hit 
publishing: publishing 
date: date 
floor: floor 
frame: frame 
wraith: wraith 
send: send 
c: c 
beef: beef 
cash: cash 
wassy: wassy 
straight: straight 
savage: savages 
dog: dog 
earpiece: earpiece 
h: h 
individual: individual 
stage: stage 
certification: certifications 
cause: cause 
playin: playin 
shoot: shoot 
lorne: lorne 
internet: internet 
daxz: daxz 
four: four 
using: using 
eric: eric 
know: know 
heart: heart 
personal: personal 
transcription: transcription 
chart: charts 
might: might 
yeah: yeah 
alphacat: alphacat 
jones: jones 
wounded: wounded 
dis: diss 
full: full 
socan: socan 
event: event 
soulja: soulja 
brother: brother 
record: records 
gettin: gettin 
bling: bling 
however: however 
leslie: leslie 
ellect: ellect 
music: music 
l: l 
really: really 
needed: needed 
live: live 
drive: drive 
question: question 
drop: drop 
gotta: gotta 
shop: shop 
feeling: feeling 
produced: produced 
learn: learn 
remy: remy 
flex: flex 
ekwesco: ekwesco 
verse: verse 
happened: happened 
prenup: prenup 
young: young 
nuevo: nuevo 
prince: prince 
scholar: scholars 
drake: drake 
picture: picture 
seen: seen 
viva: viva 
bankroll: bankroll 
fuckin: fuckin 
guess: guess 
as: ass 
gwanin: gwanin 
bjorgan: bjorgan 
entertainment: entertainment 
feed: feed 
sh: sh 
rub: rubs 
drink: drink 
