brent: brent 
gusta: gusta 
randhawa: randhawa 
wilson: wilson 
hilarious: hilarious 
krista: krista 
one: one 
umpg: umpg 
x: x 
transcriber: transcribers 
night: night nights 
encouraged: encouraged 
apocalypse: apocalypse 
scru: scru 
rivera: rivera 
sngmanxqac: sngmanxqac 
thirty: thirty 
barely: barely 
according: according 
com: com 
challenge: challenge 
raise: raise 
luis: luis 
policy: policy 
publisher: publisher 
sa: sa 
carpet: carpet 
vic: vic 
reason: reason 
heenan: heenan 
tamerlane: tamerlane 
etc: etc 
sell: sell 
friend: friends 
creative: creative 
fran: fran 
portugu: portugu 
minute: minute 
dr: dr 
pulled: pulled 
aeb: aeb 
paul: paul 
trigger: trigger 
corona: corona 
swearing: swearing 
writer: writer 
summer: summer 
mentally: mentally 
bobby: bobby 
flyer: flyers flyer 
annotation: annotation 
perform: perform 
blockbuster: blockbusters 
october: october 
canada: canada 
broke: broke 
blade: blades 
company: company 
fan: fans fan 
daymanoursavior: daymanoursavior 
bank: bank 
yuri: yuri 
todd: todd 
obituary: obituary 
point: point 
cheren: cheren 
richard: richard 
david: david 
later: later 
told: told 
genius: genius 
dakira: dakira 
manager: manager 
people: people 
featuring: featuring 
mass: mass 
sample: samples sample 
day: days day 
starred: starred 
consider: consider 
press: press 
dahl: dahl 
russian: russian 
vanilla: vanilla 
freestyle: freestyle 
rap: rap 
blowin: blowin 
retreat: retreat 
spray: spray 
enemy: enemy 
mike: mike 
endless: endless 
murdered: murdered 
bersetzungen: bersetzungen 
particular: particular 
balled: balled 
long: long 
walking: walking 
aa: aa 
unable: unable 
achlito: achlito 
sherlock: sherlock 
gon: gon 
u: u us 
ameera: ameera 
ear: ear 
edition: edition 
verified: verified 
n: n 
posse: posse 
g: g 
face: face 
holder: holder 
retired: retired 
chip: chips 
triller: triller 
coleman: coleman 
afraid: afraid 
supervising: supervising 
knowledge: knowledge 
every: every 
kartel: kartel 
portraying: portraying 
available: available 
salvatore: salvatore 
make: make 
godzilla: godzilla 
rapped: rapped 
otherwise: otherwise 
death: death 
bee: bee 
gold: gold 
licensing: licensing 
j: j 
brasil: brasil 
assistant: assistant 
german: german 
rosenberg: rosenberg 
ronnie: ronnie 
horrorcore: horrorcore 
th: th 
someone: someone 
premonition: premonition 
titor: titor 
plan: plans 
pen: pen 
vinyl: vinyl 
italiane: italiane 
nederland: nederlands 
inflatable: inflatable 
lithograph: lithograph 
vertalingen: vertalingen 
ol: ol 
birthday: birthday 
busta: busta 
quick: quick 
forum: forum 
late: late 
bowl: bowl 
traducciones: traducciones 
fifth: fifth 
name: names 
advertise: advertise 
ai: aises ais 
editor: editor 
many: many 
twin: twin 
additional: additional 
lyrical: lyrical 
add: add 
hey: hey 
darkness: darkness 
cross: cross 
toilet: toilet 
understand: understand 
jhs: jhs 
guide: guide 
costly: costly 
impossible: impossible 
persian: persian 
traduzione: traduzione 
catchy: catchy 
certification: certification 
ab: ab 
twitter: twitter 
handsome: handsome 
rose: rose 
blood: blood 
promote: promote 
hip: hip 
kobalt: kobalt 
blitz: blitz 
copyright: copyright 
hundred: hundred 
biggest: biggest 
job: jobs 
dogg: dogg 
trip: trip 
bold: bold 
davodka: davodka 
actor: actor 
renegade: renegade 
renard: renard 
f: f 
appears: appears 
series: series 
photography: photography 
dollar: dollars 
cover: cover covers 
steadicam: steadicam 
chappell: chappell 
boony: boony 
contact: contact 
em: em 
squad: squad 
xam: xam 
admire: admire 
launched: launched 
launcher: launcher 
extra: extra 
turkish: turkish 
lemonade: lemonade 
ml: ml 
prostate: prostate 
flack: flack 
rapping: rapping 
art: art 
card: card 
trailer: trailer 
mask: mask 
production: production 
posthumous: posthumous 
compare: compare 
also: also 
distributor: distributor 
get: get 
whisper: whisper 
wall: wall 
came: came 
eye: eyes eye 
kill: kill 
translation: translations translation 
jake: jake 
traducci: traducci 
paid: paid 
regret: regrets 
cristhian: cristhian 
close: close 
sensei: sensei 
final: final 
bersetzung: bersetzung 
wit: wit 
gorilla: gorilla 
fastest: fastest 
fact: facts 
end: end 
dutch: dutch 
interlude: interlude 
vodka: vodka 
resto: resto 
thing: things 
chris: chris 
low: low 
cancel: cancel 
sed: sed 
trap: trap 
bottle: bottle 
z: z 
high: high 
record: record records 
dawn: dawn 
laughing: laughing 
turn: turn 
president: president 
anyway: anyway 
mastering: mastering 
way: way ways 
product: product 
laroi: laroi 
new: new 
look: look 
obliterating: obliterating 
ease: ease 
xxl: xxl 
marsh: marsh 
party: party 
elia: elia 
unevadable: unevadable 
dump: dump 
slick: slick 
ballistic: ballistic 
top: top 
january: january 
ugh: ugh 
plannin: plannin 
curtain: curtain 
polaris: polaris 
ali: ali 
fill: fill 
interscope: interscope 
mania: mania 
mclachlan: mclachlan 
term: terms 
hoe: hoes 
take: take 
bringin: bringin 
black: black 
passing: passing 
pencil: pencil 
original: original 
notably: notably 
interpolate: interpolate 
whopper: whopper 
latinautor: latinautor 
fx: fx 
god: god 
sit: sit 
hop: hop 
mythological: mythological 
godzirra: godzirra 
casting: casting 
aise: aise 
embed: embed 
currently: currently 
whole: whole 
first: first 
cheesecake: cheesecake 
kelo: kelo 
bashir: bashir 
tom: tom 
aeddre: aeddre 
horseshoe: horseshoe 
attracts: attracts 
destruction: destruction 
merriam: merriam 
universal: universal 
ft: ft 
campana: campana 
time: time 
fist: fist 
aftermath: aftermath 
ever: ever 
apartament: apartament 
actual: actual 
kathy: kathy 
rhyme: rhymes 
hot: hot 
unfadable: unfadable 
farsi: farsi 
influence: influences 
strange: strange 
finger: finger 
since: since 
well: well 
ultimate: ultimate 
tyson: tyson 
recognized: recognized 
lake: lake 
receive: receive 
ink: ink 
like: like 
guy: guy 
distinguish: distinguish 
crystal: crystal 
two: two 
better: better 
ulloa: ulloa 
percent: percent 
cmrra: cmrra 
adhd: adhd 
hurt: hurt 
snoop: snoop 
signed: signed 
source: source 
hand: hand 
sign: sign 
justin: justin 
flyingkitty: flyingkitty 
q: q 
half: half 
unknown: unknown 
gave: gave 
motherfuckin: motherfuckin 
sea: sea 
r: r 
stay: stay 
bennett: bennett 
epitome: epitome 
cameo: cameo 
spanish: spanish 
louis: louis 
cody: cody 
deck: deck 
pistol: pistol 
rucka: rucka 
llc: llc 
official: official 
hour: hour 
insight: insight 
studio: studios 
farewell: farewell 
ray: ray 
expand: expand 
big: big 
maxi: maxi 
come: comes 
footage: footage 
recording: recording 
feel: feel 
caught: caught 
shaft: shaft 
problem: problem 
joined: joined 
ry: ry 
portuguese: portuguese 
yah: yah 
niyonzima: niyonzima 
designer: designer 
mistake: mistake 
may: may 
repeating: repeating 
track: track 
although: although 
bieber: bieber 
confirmed: confirmed 
stock: stock 
love: love 
ness: ness 
app: app 
hit: hit 
crypt: crypt 
lend: lend 
perspire: perspire 
leaving: leaving 
publishing: publishing 
set: set 
date: date 
floor: floor 
platinum: platinum 
vicinity: vicinity 
girl: girls 
c: c 
matemathik: matemathik 
adrienne: adrienne 
zombie: zombie 
voice: voices 
fast: fast 
oak: oaks 
unavoidable: unavoidable 
ak: ak 
march: march 
draw: draw 
julio: julio 
logic: logic 
ski: ski 
chevere: chevere 
mashup: mashup 
scissor: scissor 
evade: evade 
reportedly: reportedly 
interview: interview 
h: h 
marry: marry 
vacay: vacay 
individual: individual 
mizeb: mizeb 
apache: apache 
cause: cause 
single: single 
fusina: fusina 
everybody: everybody 
using: using 
venom: venom 
henry: henry 
personal: personal 
fictional: fictional 
bassy: bassy 
pretending: pretending 
eminem: eminem 
lick: lick 
chart: charts 
might: might 
transcription: transcription 
chinese: chinese 
pedl: pedl 
cher: cher 
spitter: spitter 
entered: entered 
heaven: heaven 
yeah: yeah 
dude: dude 
dope: dope 
dealer: dealer 
hydroxycut: hydroxycut 
brian: brian 
list: list 
sheet: sheet 
bit: bit 
full: full 
mint: mint 
diddy: diddy 
gangsta: gangsta 
warner: warner 
stacked: stacked 
larry: larry 
band: bands 
vich: vich 
anybody: anybody 
italian: italian 
brain: brain 
music: music 
l: l 
courvoisier: courvoisier 
outta: outta 
kid: kid 
moon: moon 
retire: retire 
maid: maid 
travis: travis 
question: question 
complete: complete 
producer: producer 
player: player 
climaco: climaco 
drop: drop 
loser: loser 
shop: shop 
espa: espa 
produced: produced 
learn: learn 
programming: programming 
staring: staring 
spit: spit 
king: king 
villasana: villasana 
wazer: wazer 
khedz: khedz 
depicted: depicted 
appalled: appalled 
tv: tv 
young: young 
attila: attila 
recorded: recorded 
drawn: drawn 
worby: worby 
executive: executive 
luevanos: luevanos 
st: st 
italiana: italiana 
dj: dj 
index: index 
scholar: scholars 
videographer: videographer 
motherfucker: motherfucker 
fire: fire 
picture: picture 
december: december 
hub: hub 
seat: seat 
penis: penis 
fuckin: fuckin 
interpolation: interpolations 
chair: chair 
cannot: cannot 
aresa: aresa 
quadeca: quadeca 
anna: anna 
stepdad: stepdad 
scary: scary 
vybz: vybz 
version: version 
bury: bury 
entertainment: entertainment 
traduzioni: traduzioni 
feed: feed 
tmnv: tmnv 
jay: jay 
italiano: italiano 
ill: ill 
finish: finish 
exam: exam 
