double: double 
rhyme: rhyme rhymes 
type: type 
freebase: freebase 
release: release 
b: b 
punctuate: punctuate 
adoption: adoption 
right: rights 
group: group 
swallow: swallow 
sharab: sharab 
hear: hear 
bmi: bmi 
together: together 
intro: intro 
weigh: weigh 
popular: popular 
one: one 
x: x 
transcriber: transcribers 
deleted: deleted 
according: according 
policy: policy 
publisher: publisher 
ripping: ripping 
etc: etc 
sell: sell 
loma: loma 
az: az 
slowthai: slowthai 
annotation: annotation 
cut: cuts 
listen: listen 
october: october 
case: case 
climax: climax 
best: best 
sky: skies 
penetrate: penetrate 
blessing: blessing 
genius: genius 
people: people 
doctor: doctor 
temporary: temporary 
year: year 
sample: samples sample 
juicy: juicy 
blue: blue 
press: press 
melodic: melodic 
performed: performed 
burgess: burgess 
rap: rap 
homie: homie 
animorph: animorph 
forever: forever 
graf: graf 
u: u us 
nasty: nasty 
enemy: enemies 
mama: mama 
verified: verified 
n: n 
supreme: supreme 
g: g 
vista: vista 
face: face 
awesomeness: awesomeness 
harder: harder 
hottest: hottest 
knowledge: knowledge 
sheesh: sheesh 
make: make 
curry: curry 
schaefer: schaefer 
death: death 
line: lines 
gold: gold 
licensing: licensing 
j: j 
sony: sony 
life: life 
ol: ol 
cutting: cutting 
forum: forum 
lookin: lookin 
late: late 
traducciones: traducciones 
ryan: ryan 
sorcerer: sorcerer 
said: said 
advertise: advertise 
lyrical: lyrical 
add: add 
crew: crew 
harmonious: harmonious 
hey: hey 
sheesha: sheesha 
intensity: intensity 
bloodshed: bloodshed 
cosmic: cosmic 
florida: florida 
understand: understand 
guide: guide 
ridin: ridin 
wet: wet 
overlord: overlord 
son: son 
funk: funk 
shrooms: shrooms 
ugly: ugly 
promote: promote 
alternate: alternate 
hip: hip 
intensify: intensify 
ep: ep 
job: jobs 
copyright: copyright 
biggest: biggest 
bold: bold 
lui: lui 
elimidate: elimidate 
f: f 
valencia: valencia 
contact: contact 
unique: unique 
banton: banton 
foreigner: foreigner 
em: em 
pi: pi 
state: state 
bringing: bringing 
badbadnotgood: badbadnotgood 
ml: ml 
art: art 
behold: behold 
production: production 
recording: recordings recording 
sensimilla: sensimilla 
also: also 
glock: glock 
became: became 
came: came 
management: management 
departed: departed 
kill: kill 
translation: translations 
traducci: traducci 
confederate: confederate 
fake: fake 
ending: ending 
fact: facts 
ton: ton 
shabnam: shabnam 
cellphone: cellphone 
cancel: cancel 
dirty: dirty 
zel: zel 
trap: trap 
chaotic: chaotic 
z: z 
high: high 
come: come 
solar: solar 
ago: ago 
hardest: hardest 
supposed: supposed 
turn: turn 
new: new 
xxl: xxl 
made: made 
ronny: ronny 
flag: flag 
open: open 
politics: politics 
lord: lord 
interpolate: interpolate 
latinautor: latinautor 
god: god 
hop: hop 
livin: livin 
embed: embed 
cartilage: cartilage 
switched: switched 
bang: bang 
beast: beast 
disagree: disagree 
universal: universal 
ft: ft 
time: time 
homies: homies 
sun: sun 
wait: wait 
actual: actual 
hot: hot 
ultimate: ultimate 
playhouse: playhouse 
like: like 
torturer: torturer 
distinguish: distinguish 
chop: chop 
spartacus: spartacus 
bean: bean 
better: better 
huh: huh 
source: source 
need: need 
claim: claim 
sign: sign 
q: q 
pop: pop 
stay: stay 
r: r 
arrivederci: arrivederci 
attention: attention 
inverted: inverted 
done: done 
toxic: toxic 
selling: selling 
gun: gun 
paired: paired 
asked: asked 
llc: llc 
seems: seems 
tape: tape 
insight: insight 
viral: viral 
e: e 
expand: expand 
breakout: breakout 
hell: hell 
ult: ult 
voronii: voronii 
feel: feel 
pain: pain 
canteen: canteen 
great: great 
caught: caught 
christopher: christopher 
bhosle: bhosle 
asha: asha 
repeating: repeating 
sound: sounds 
track: track 
rc: rc 
love: love 
public: public 
hit: hit 
peermusic: peermusic 
family: family 
date: date 
libra: libra 
c: c 
thanks: thanks 
able: able 
cash: cash 
inspired: inspired 
classy: classy 
h: h 
atl: atl 
individual: individual 
certification: certifications 
respect: respect 
cause: cause 
corridor: corridor 
internet: internet 
planet: planet 
narcissist: narcissist 
unexpectedly: unexpectedly 
copy: copies 
personal: personal 
parenthesis: parentheses 
transcription: transcription 
chart: charts 
might: might 
creeperfilhadaputa: creeperfilhadaputa 
droppin: droppin 
gotten: gotten 
fate: fate 
senzu: senzu 
moment: moment 
dc: dc 
inspiration: inspiration 
vocal: vocals 
gate: gates 
photosynthesis: photosynthesis 
record: records 
music: music 
l: l 
bust: bust 
denzel: denzel 
live: live 
kony: kony 
question: question 
producer: producer 
something: something 
drop: drop 
yellow: yellow 
espa: espa 
shop: shop 
produced: produced 
learn: learn 
king: king 
buju: buju 
flame: flame 
verse: verse 
anthony: anthony 
young: young 
recorded: recorded 
executive: executive 
infamous: infamous 
st: st 
scholar: scholars 
markmc: markmc 
december: december 
fuckin: fuckin 
as: ass 
version: version 
scary: scary 
entertainment: entertainment 
feed: feed 
billion: billion 
beat: beat 
say: says 
atv: atv 
