important: important 
yrn: yrn 
love: love 
hit: hit 
meme: meme 
publishing: publishing 
work: work 
sam: sam 
vu: vu 
date: date 
skrrt: skrrt 
floor: floor 
platinum: platinum 
c: c 
finny: finny 
megamix: megamix 
cash: cash 
march: march 
dog: dog 
grandy: grandy 
h: h 
individual: individual 
internet: internet 
bell: bell 
four: four 
lifestyle: lifestyle 
apart: apart 
know: know 
ramzoid: ramzoid 
personal: personal 
balling: balling 
milker: milker 
transcription: transcription 
chart: charts 
might: might 
bozzi: bozzi 
hard: hard 
addict: addict 
gone: gone 
yeah: yeah 
pick: pick 
socan: socan 
domino: domino 
record: records 
madilyn: madilyn 
music: music 
l: l 
queen: queen 
question: question 
complete: complete 
producer: producer 
drop: drop 
shop: shop 
feeling: feeling 
produced: produced 
learn: learn 
flex: flex 
tv: tv 
verse: verse 
waddell: waddell 
young: young 
maniac: maniac 
recorded: recorded 
dj: dj 
scholar: scholars 
fire: fire 
myny: myny 
seen: seen 
cancelled: cancelled 
graduation: graduation 
version: version 
saw: saw 
entertainment: entertainment 
hatin: hatin 
jay: jay 
iamjakehill: iamjakehill 
