sia: sia 
moguai: moguai 
creating: creating 
frahh: frahh 
sin: sin 
guideline: guidelines 
finna: finna 
check: check 
stretch: stretch 
song: song songs 
lady: ladies 
tekass: tekass 
credit: credits credit 
cheese: cheese 
countin: countin 
dubmgfx: dubmgfx 
sequel: sequel 
cupcakke: cupcakke 
man: man 
feature: features 
even: even 
keneddythedon: keneddythedon 
engineer: engineer 
mercey: mercey 
instrumental: instrumental 
mill: mill 
thing: thing 
versus: versus 
un: un 
camera: camera 
bate: bate 
fat: fat 
banana: bananas 
battle: battle 
deu: deu 
liar: liar 
money: money 
split: split 
real: real 
ii: ii 
purpmiya: purpmiya 
zeroum: zeroum 
comment: comment comments 
wrote: wrote 
personally: personally 
verse: verses verse 
yaro: yaro 
contributor: contributor contributors 
read: read reads 
lil: lil 
meme: memes 
english: english 
part: parts part 
snus: snus 
free: free 
header: headers 
right: right rights 
street: street 
ask: ask 
stuff: stuff 
written: written 
performance: performance 
format: format 
lor: lor 
vocalist: vocalists 
uploaded: uploaded 
zo: zo 
caneda: caneda 
developer: developers 
non: non 
town: town 
christmas: christmas 
road: road 
fly: fly 
maino: maino 
bridge: bridge 
heat: heat 
jean: jean 
barz: barz 
tlop: tlop 
moose: moose 
villain: villains 
bouba: bouba 
wakil: wakil 
heffernan: heffernan 
phonographic: phonographic 
flip: flip 
director: director 
remix: remix 
magazine: magazine 
ctd: ctd 
pull: pull 
bodycam: bodycam 
il: il 
narrow: narrow 
regardless: regardless 
mixing: mixing 
krickz: krickz 
view: view 
saurus: saurus 
musical: musical 
andreea: andreea 
visit: visit 
stack: stacks 
montez: montez 
digit: digits 
user: users user 
amidst: amidst 
billboard: billboard 
shit: shit 
game: game 
illeoo: illeoo 
jam: jam 
created: created 
power: power 
responded: responded 
kanta: kanta 
p: p 
auto: auto 
marf: marf 
oscar: oscar 
chase: chase 
wearing: wearing 
wherever: wherever 
dax: dax 
call: call 
manchester: manchester 
endangered: endangered 
broken: broken 
different: different 
united: united 
devvon: devvon 
chuchesta: chuchesta 
feelin: feelin 
wacko: wacko 
fight: fight 
spezi: spezi 
polar: polar 
creatives: creatives 
vanquish: vanquish 
red: red 
charlie: charlie 
e: es e 
video: videos video 
taking: taking 
brand: brand 
featured: featured 
flow: flow 
album: album 
vibe: vibes vibe 
tag: tags 
lavish: lavish 
get: gets get 
ride: ride 
label: label 
grant: grants grant 
mc: mc 
character: character 
started: started 
lan: lan 
michael: michael 
island: island 
broad: broads 
twistin: twistin 
ascap: ascap 
al: al 
scoggins: scoggins 
us: uses 
reppin: reppin 
got: got 
swimsuit: swimsuit 
fronting: fronting 
bigger: bigger 
aotl: aotl 
ace: ace 
coast: coast 
newagewonder: newagewonder 
edward: edwards 
george: george 
type: type 
whip: whip 
release: release 
b: b 
lean: lean 
stellar: stellar 
minuto: minuto 
comic: comics 
arcus: arcus 
lunchbagg: lunchbagg 
vision: vision 
gunna: gunna 
askin: askin 
group: group 
essa: essa 
tommy: tommy 
playing: playing 
normal: normal 
papa: papa 
bmi: bmi 
intro: intro 
porra: porra 
dynasty: dynasty 
monstas: monstas 
illumate: illumate 
x: x 
one: one 
green: green 
transcriber: transcribers 
amassed: amassed 
logo: logo 
scru: scru 
lot: lot 
valentyne: valentyne 
round: round 
stikbot: stikbot 
passa: passa 
randy: randy 
policy: policy 
stretched: stretched 
publisher: publisher 
cafun: cafun 
future: future 
tamerlane: tamerlane 
holla: holla 
etc: etc 
comparing: comparing 
sell: sell 
portugu: portugu 
minute: minute 
zana: zana 
paris: paris 
paul: paul 
atlanta: atlanta 
pandaniel: pandaniel 
shot: shots 
end: ends 
summer: summer 
phyrosun: phyrosun 
bobby: bobby 
annotation: annotation 
marley: marley 
ewezy: ewezy 
adonis: adonis 
broke: broke 
fiasco: fiasco 
bank: bank 
listening: listening 
father: father 
exclamation: exclamation 
ben: ben 
sarkodie: sarkodie 
richard: richard 
quebonafide: quebonafide 
bunch: bunch 
coming: coming 
rogersbase: rogersbase 
person: person 
genius: genius 
im: im 
igu: igu 
amra: amra 
nino: nino 
lost: lost 
people: people 
featuring: featuring 
purpose: purpose 
sample: samples sample 
ubwali: ubwali 
press: press 
russian: russian 
afrojack: afrojack 
slava: slava 
freestyle: freestyle 
pullin: pullin 
rap: rap 
reagan: reagan 
mayh: mayh 
sound: sound 
pt: pt 
mike: mike 
desiigner: desiigner 
gorila: gorila 
long: long 
bear: bears 
major: major 
stand: stand 
misogi: misogi 
gon: gon 
else: else 
macho: macho 
u: u us 
verified: verified 
bump: bump 
n: n 
yee: yee 
rmx: rmx 
simba: simba 
g: g 
rise: rise 
scenario: scenario 
noobersingshd: noobersingshd 
face: face 
bando: bando 
futuristic: futuristic 
candy: candy 
afraid: afraid 
hottest: hottest 
knowledge: knowledge 
every: every 
trend: trend 
pendant: pendant 
oddish: oddish 
choppa: choppa 
artwork: artwork 
city: city 
eladio: eladio 
make: make 
curatola: curatola 
hammer: hammers 
west: west 
cosculluela: cosculluela 
cruz: cruz 
obladaet: obladaet 
death: death 
line: lines 
brasil: brasil 
licensing: licensing 
j: j 
danny: danny 
lunatic: lunatics 
assistant: assistant 
jdr: jdr 
sony: sony 
loader: loader 
stammi: stammi 
life: life 
german: german 
bruce: bruce 
yo: yo 
th: th 
warning: warning 
chart: chart charts 
shofu: shofu 
shamzy: shamzy 
phoreign: phoreign 
diaconu: diaconu 
killin: killin 
pablo: pablo 
ol: ol 
forum: forum 
sixteen: sixteen 
traducciones: traducciones 
chat: chat 
psychopathic: psychopathic 
sorcerer: sorcerer 
paradox: paradox 
almighty: almighty 
advertise: advertise 
sted: sted 
yalbi: yalbi 
many: many 
meet: meet 
dawg: dawg 
add: add 
haydunn: haydunn 
theft: theft 
hey: hey 
menace: menace 
pocket: pockets 
ship: ship 
dean: dean 
scoot: scoot 
pg: pg 
shooter: shooters shooter 
understand: understand 
guide: guide 
drefgold: drefgold 
rollie: rollie 
iconoclast: iconoclast 
conor: conor 
gta: gta 
fabolous: fabolous 
fella: fellas 
crawling: crawling 
dana: dana 
incorporated: incorporated 
promote: promote 
alternate: alternate 
hip: hip 
bonus: bonus 
kobalt: kobalt 
copyright: copyright 
based: based 
hundred: hundred 
newfound: newfound 
yankee: yankee 
khary: khary 
bold: bold 
dorian: dorian 
snik: snik 
isaac: isaac 
hood: hood 
biggest: biggest 
job: jobs 
sl: sl 
apandah: apandah 
valley: valley 
f: f 
photography: photography 
cover: cover covers 
lucas: lucas 
illkittydog: illkittydog 
chappell: chappell 
contact: contact 
em: em 
squad: squad 
clappin: clappin 
state: state 
session: session 
azure: azure 
ml: ml 
brooklyn: brooklyn 
american: americans 
magna: magna 
mask: mask 
art: art 
kickass: kickass 
production: production 
recording: recordings recording 
onetake: onetake 
also: also 
distributor: distributor 
came: came 
mean: mean 
management: management 
houston: houston 
krush: krush 
decade: decade 
kill: kill 
translation: translations translation 
khaled: khaled 
robbie: robbie 
wizard: wizard 
traducci: traducci 
temer: temer 
thahiphophead: thahiphophead 
bugatti: bugatti 
wit: wit 
white: white 
doc: doc 
vega: vegas 
gorilla: gorilla 
fact: facts 
fake: fake 
interlude: interlude 
tribute: tribute 
def: def 
chupa: chupa 
sort: sorts 
majoe: majoe 
bouquet: bouquet 
chicken: chicken 
galimeiobraz: galimeiobraz 
cancel: cancel 
meek: meek 
hassuntu: hassuntu 
trap: trap 
z: z 
keiden: keiden 
high: high 
stillbrazyisaotydealwithit: stillbrazyisaotydealwithit 
come: come 
solar: solar 
nancy: nancy 
palga: palga 
supposed: supposed 
way: way 
emi: emi 
worried: worried 
new: new 
jet: jet 
look: look 
dancin: dancin 
shuetube: shuetube 
quickly: quickly 
lupe: lupe 
top: top 
maldonado: maldonado 
montana: montana 
da: da 
critch: critch 
piece: pieces 
ali: ali 
mix: mix 
fill: fill 
term: terms 
peled: peled 
east: east 
shade: shade 
sugus: sugus 
nd: nd 
streak: streak 
chedda: chedda 
black: black 
nechie: nechie 
chance: chance 
bar: bar 
interpolate: interpolate 
whopper: whopper 
latinautor: latinautor 
gunning: gunning 
legend: legend 
grand: grand 
maynard: maynard 
vi: vi 
hop: hop 
keep: keep 
james: james 
leider: leider 
casting: casting 
embed: embed 
kan: kan 
whole: whole 
kmr: kmr 
durk: durk 
kung: kung 
universal: universal 
ft: ft 
daddy: daddy 
time: time 
donald: donald 
phillip: phillip 
digital: digital 
saib: saib 
starz: starz 
hot: hot 
baccagliare: baccagliare 
ind: ind 
notxofar: notxofar 
farruko: farruko 
bos: boss 
ultimate: ultimate 
tyson: tyson 
jalique: jalique 
mirikazizi: mirikazizi 
like: like 
mammoth: mammoth 
distinguish: distinguish 
camo: camo 
guy: guy 
million: million 
two: two 
better: better 
diego: diego 
cmrra: cmrra 
marcio: marcio 
kanye: kanye 
fuck: fuck 
koala: koala 
waitin: waitin 
liberated: liberated 
uk: uk 
source: source 
sign: sign 
play: plays 
tre: tre 
matt: matt 
elmex: elmex 
q: q 
day: day 
pop: pop 
r: r 
revenge: revenge 
charlieheatversion: charlieheatversion 
cameo: cameo 
vocal: vocal 
spanish: spanish 
asked: asked 
dhowardondrums: dhowardondrums 
resemblance: resemblance 
llc: llc 
ross: ross 
pandegg: pandegg 
jannah: jannah 
royalty: royalties 
tyga: tyga 
casrey: casrey 
insight: insight 
speed: speed 
ya: ya 
ray: ray 
expand: expand 
regarding: regarding 
big: big 
breakout: breakout 
luxury: luxury 
sippin: sippin 
april: april 
pain: pain 
hnm: hnm 
trickywi: trickywi 
portuguese: portuguese 
phantom: phantom 
dave: dave 
may: may 
los: los 
repeating: repeating 
pokeaimmd: pokeaimmd 
trappin: trappin 
dark: dark 
track: track 
involved: involved 
love: love 
merky: merky 
fredo: fredo 
oby: oby 
publishing: publishing 
grc: grc 
frisko: frisko 
date: date 
libra: libra 
girl: girls 
wraith: wraith 
joker: joker 
rudder: rudder 
c: c 
sold: sold 
zombie: zombie 
ypo: ypo 
cash: cash 
plug: plug 
mondo: mondo 
ak: ak 
inspired: inspired 
daniel: daniel 
rid: rid 
dnz: dnz 
signing: signing 
mashup: mashup 
zatknites: zatknites 
h: h 
levy: levy 
individual: individual 
scsp: scsp 
hart: hart 
tha: tha 
overnight: overnight 
express: express 
smoke: smoke 
skioffi: skioffi 
four: four 
know: know 
coordinator: coordinator 
personal: personal 
pikachu: pikachu 
nada: nada 
pink: pink 
transcription: transcription 
trapstar: trapstar 
might: might 
rnd: rnd 
pedl: pedl 
maybel: maybel 
iamj: iamj 
lefa: lefa 
yeah: yeah 
rowland: rowland 
dc: dc 
shitted: shitted 
dope: dope 
toasty: toasty 
brian: brian 
dmaij: dmaij 
warner: warner 
brother: brother 
kim: kim 
gritty: gritty 
gettin: gettin 
announce: announce 
kuzgun: kuzgun 
italian: italian 
music: music 
l: l 
daingerous: daingerous 
bayne: bayne 
killas: killas 
carri: carri 
drive: drive 
live: live 
business: business 
tallest: tallest 
question: question 
orange: orange 
second: seconds 
producer: producer 
war: war 
tjay: tjay 
killa: killa 
riot: riot 
drop: drop 
vk: vk 
shop: shop 
espa: espa 
arnold: arnold 
produced: produced 
learn: learn 
aristotle: aristotle 
perc: perc 
king: king 
scammer: scammers 
flex: flex 
zehef: zehef 
car: car 
ernesto: ernesto 
beatdown: beatdown 
young: young 
executive: executive 
lick: licks 
ta: ta 
st: st 
vogue: vogue 
lod: lod 
sarah: sarah 
ruthless: ruthless 
bmw: bmw 
dj: dj 
ap: ap 
bene: bene 
garden: garden 
scholar: scholars 
card: cards 
december: december 
adidawss: adidawss 
dot: dot 
fuckin: fuckin 
spot: spot 
guess: guess 
caliber: caliber 
vio: vio 
version: version 
deen: deen 
entertainment: entertainment 
net: net 
jay: jay 
bomb: bombs 
kp: kpss 
