burgergate: burgergate 
saudi: saudi 
ii: ii 
le: less 
cup: cup 
comment: comment comments 
tour: tour 
trinidad: trinidad 
kari: kari 
chanels: chanels 
national: national 
bodak: bodak 
contributor: contributor contributors 
actually: actually 
assassin: assassin 
read: read 
word: word 
lil: lil 
shendell: shendell 
riaa: riaa 
potty: potty 
part: parts part 
past: past 
nugget: nuggets 
right: right rights 
header: headers 
ask: ask 
written: written 
performance: performance 
format: format 
triple: triple 
vocalist: vocalists 
scene: scenes 
ball: ball 
developer: developers 
fly: fly 
changed: changed 
pecf: pecf 
july: july 
limit: limit 
lear: lear 
director: director 
remix: remix 
scuffed: scuffed 
magazine: magazine 
marty: marty 
pull: pull 
sikwxyo: sikwxyo 
mixing: mixing 
tillie: tillie 
view: view 
fade: fade 
dead: dead 
musical: musical 
visit: visit 
rear: rears 
though: though 
created: created 
pilot: pilot 
chest: chest 
p: p 
head: head 
fair: fair 
ooh: ooh 
play: play 
auto: auto 
see: see 
uh: uh 
imported: imported 
allegro: allegro 
call: call 
medium: media 
oren: oren 
broken: broken 
different: different 
bible: bible 
devvon: devvon 
bill: bill 
door: doors 
motown: motown 
vida: vida 
star: star 
cartel: cartel 
broad: broad 
carbon: carbon 
e: es e 
video: videos video 
dork: dork 
margarine: margarine 
pussy: pussy 
brand: brand 
featured: featured 
tag: tags 
ride: ride 
prophet: prophet 
label: label 
mc: mc 
parody: parody 
lamborghini: lamborghini 
water: water 
ascap: ascap 
actin: actin 
bum: bum 
got: got 
tryna: tryna 
culture: culture 
type: type 
sack: sacks 
b: b 
release: release 
multiverse: multiverse 
rack: racks 
lace: lace 
fit: fit 
custom: custom 
group: group 
jump: jump 
would: would 
jackie: jackie 
valentin: valentin 
quavo: quavo 
hear: hear 
bmi: bmi 
flame: flames 
intro: intro 
lites: lites 
lip: lips 
green: green 
one: one 
slightly: slightly 
brrr: brrr 
transcriber: transcribers 
moottori: moottori 
ramon: ramon 
x: x 
xanman: xanman 
away: away 
narcos: narcos 
joshua: joshua 
policy: policy 
publisher: publisher 
takeoff: takeoff 
abort: abort 
competition: competition 
gabstr: gabstr 
offset: offset 
sell: sell 
etc: etc 
could: could 
friend: friends 
portugu: portugu 
traphouse: traphouse 
soon: soon 
loose: loose 
atlanta: atlanta 
snorted: snorted 
anthem: anthem 
roba: roba 
shot: shots 
rucci: rucci 
annotation: annotation 
air: air 
wonder: wonder 
mega: mega 
october: october 
nosebleed: nosebleeds 
kissin: kissin 
woah: woah 
richard: richard 
mall: mall 
pineapple: pineapple 
told: told 
shaftizm: shaftizm 
genius: genius 
nick: nick 
iamjayce: iamjayce 
cappin: cappin 
flooded: flooded 
sample: samples sample 
juicy: juicy 
fry: fry 
press: press 
cut: cut 
freestyle: freestyle 
pullin: pullin 
rap: rap 
nawf: nawf 
pt: pt 
mike: mike 
judd: judd 
title: title 
near: near 
cosmodore: cosmodore 
ljy: ljy 
major: major 
aubry: aubry 
nunna: nunna 
gon: gon 
lead: lead 
criss: criss 
u: u us 
mama: mama 
verified: verified 
stats: stats 
hit: hits hit 
tunna: tunna 
jasmine: jasmine 
n: n 
belichick: belichick 
posse: posse 
g: g 
face: face 
grandma: grandma 
chan: chan 
primary: primary 
candy: candy 
show: show 
leaf: leaf 
paper: paper 
left: left 
pressed: pressed 
knowledge: knowledge 
supastars: supastars 
murda: murda 
space: space 
farina: farina 
ultra: ultra 
artwork: artwork 
piped: piped 
make: make 
death: death 
line: lines 
higher: higher 
licensing: licensing 
brasil: brasil 
j: j 
assistant: assistant 
sony: sony 
yo: yo 
hripsime: hripsime 
patek: patek 
cork: cork 
thomas: thomas 
say: say 
pablo: pablo 
immortal: immortal 
forum: forum 
aim: aim 
advertise: advertise 
many: many 
watch: watch 
add: add 
porsche: porsche 
straw: straw 
hey: hey 
taste: tastes 
dyed: dyed 
lary: lary 
understand: understand 
guide: guide 
wet: wet 
violent: violent 
swear: swear 
afford: afford 
son: son 
gotti: gotti 
piguets: piguets 
reliable: reliable 
washpoppin: washpoppin 
promote: promote 
pinky: pinky 
bonus: bonus 
price: price 
wish: wish 
hundred: hundred 
weave: weave 
biggest: biggest 
britney: britney 
yankee: yankee 
bold: bold 
job: jobs 
copyright: copyright 
f: f 
work: works work 
chappell: chappell 
contact: contact 
kinkki: kinkki 
ditt: ditt 
em: em 
xam: xam 
knust: knust 
avila: avila 
serious: serious 
ml: ml 
officially: officially 
faced: faced 
mcphillip: mcphillip 
ayo: ayo 
also: also 
get: get 
came: came 
runnin: runnin 
played: played 
ripsi: ripsi 
kill: kill 
translation: translations 
butter: butter 
lined: lined 
perky: perky 
bugatti: bugatti 
white: white 
lucy: lucy 
nicki: nicki 
cc: cc 
fact: facts 
fake: fake 
broma: broma 
donut: donuts 
control: control 
saks: saks 
ho: ho 
chris: chris 
cancel: cancel 
trap: trap 
race: race 
z: z 
high: high 
come: come 
mission: mission 
turn: turn 
mastering: mastering 
emi: emi 
new: new 
capitol: capitol 
party: party 
made: made 
unit: unit 
front: front fronts 
highly: highly 
top: top 
akademiks: akademiks 
da: da 
disappear: disappear 
boosie: boosie 
term: terms 
nou: nou 
take: take 
hoe: hoes 
open: open 
hair: hair 
black: black 
collins: collins 
catfishin: catfishin 
cotton: cotton 
interpolate: interpolate 
whopper: whopper 
witcha: witcha 
reachin: reachin 
wheel: wheel 
chain: chain 
latinautor: latinautor 
ferina: ferina 
sit: sit 
migos: migos 
hop: hop 
la: la 
blow: blow 
embed: embed 
spear: spears 
men: men 
voil: voil 
switched: switched 
durel: durel 
hustle: hustle 
beast: beast 
universal: universal 
ft: ft 
court: court 
daddy: daddy 
blunt: blunt 
hot: hot 
catchin: catchin 
gas: gas 
farruko: farruko 
well: well 
ultimate: ultimate 
like: like 
huncho: huncho 
distinguish: distinguish 
sand: sand 
blikky: blikky 
cmrra: cmrra 
removed: removed 
huh: huh 
beatz: beatz 
qb: qb 
commitment: commitment 
frequent: frequent 
went: went 
source: source 
need: need 
hand: hand 
mille: mille 
sign: sign 
q: q 
selena: selena 
gave: gave 
day: day 
pop: pop 
r: r 
julma: julma 
cum: cums 
attention: attention 
bag: bag 
iron: iron 
colin: colin 
done: done 
winelover: winelover 
pipe: pipe 
mico: mico 
llc: llc 
official: official 
quality: quality 
qu: qu 
insight: insight 
couple: couple 
nni: nni 
expand: expand 
big: big 
recording: recording 
feel: feel 
pain: pain 
shiftin: shiftin 
os: ora 
talkin: talkin 
copyin: copyin 
april: april 
hnm: hnm 
shawty: shawty 
platinum: platinums platinum 
los: los 
kitty: kitty 
repeating: repeating 
stair: stairs 
track: track 
yrn: yrn 
love: love 
mill: mills 
sendin: sendin 
unreleased: unreleased 
behind: behind 
office: office 
publishing: publishing 
set: set 
rrrrrr: rrrrrr 
king: kings 
date: date 
skrrt: skrrt 
ex: ex 
supern: supern 
gasolina: gasolina 
send: send 
itchin: itchin 
reservoir: reservoir 
c: c 
beef: beef 
fast: fast 
strap: strap 
wase: wase 
straight: straight 
mashup: mashup 
human: human 
titty: titty 
h: h 
individual: individual 
jewerly: jewerly 
land: land 
shift: shift 
certification: certifications 
cause: cause 
single: single 
express: express 
smoke: smoke 
crown: crown 
know: know 
personal: personal 
slap: slaps 
minaj: minaj 
laced: laced 
pink: pink 
transcription: transcription 
chart: charts 
might: might 
hard: hard 
pedl: pedl 
bradley: bradley 
chi: chi 
yeah: yeah 
ent: ent 
dope: dope 
brian: brian 
full: full 
socan: socan 
warner: warner 
catch: catch 
moore: moore 
record: records 
lewis: lewis 
music: music 
earlier: earlier 
l: l 
longer: longer 
atwood: atwood 
guets: guets 
boujee: boujee 
question: question 
drop: drop 
givenchy: givenchy 
hripsme: hripsme 
yellow: yellow 
shop: shop 
produced: produced 
learn: learn 
perc: perc 
flex: flex 
verse: verse 
whew: whew 
trynet: trynet 
dj: dj 
champ: champ 
scholar: scholars 
se: se 
fire: fire 
notice: notice 
december: december 
seen: seen 
viva: viva 
bleezy: bleezy 
bmx: bmx 
interpolation: interpolations 
cannot: cannot 
drug: drug 
as: ass 
blazin: blazin 
version: version 
rasha: rasha 
treatin: treatin 
entertainment: entertainment 
jay: jay 
drink: drink 
atv: atv 
delaine: delaine 
