ussobi: ussobi 
fagkii: fagkii 
sound: sound sounds 
pt: pt 
title: title 
cab: cab 
wipe: wipe 
latino: latino 
gon: gon 
else: else 
flow: flows 
vigil: vigil 
lyrically: lyrically 
u: u us 
starin: starin 
fam: fam 
mama: mama 
verified: verified 
n: n 
g: g 
tired: tired 
face: face 
phone: phone 
show: show 
vol: vol 
afraid: afraid 
stephen: stephens 
knowledge: knowledge 
every: every 
artwork: artwork 
make: make 
shared: shared 
godzilla: godzilla 
west: west 
otherwise: otherwise 
death: death 
bar: bars 
line: lines 
dabra: dabra 
goddamn: goddamn 
licensing: licensing 
rabies: rabies 
pada: pada 
j: j 
throw: throw 
someone: someone 
italiane: italiane 
chapki: chapki 
pump: pump 
hitter: hitters 
killin: killin 
awesome: awesome 
say: say 
forum: forum 
lookin: lookin 
detractor: detractors 
said: said 
mellow: mellow 
dikulz: dikulz 
solomon: solomon 
advertise: advertise 
many: many 
bathing: bathing 
additional: additional 
lyrical: lyrical 
add: add 
porsche: porsche 
smacked: smacked 
bregma: bregma 
understand: understand 
guide: guide 
history: history 
donnell: donnell 
traduzione: traduzione 
deal: deal 
bill: bills 
son: son 
sight: sight 
please: please 
derringer: derringer 
harrison: harrison 
twitter: twitter 
blood: blood 
school: school 
foul: foul 
promote: promote 
hip: hip 
blitz: blitz 
unloadin: unloadin 
copyright: copyright 
job: jobs 
biggest: biggest 
squint: squints 
bold: bold 
automatic: automatic 
plan: plan 
umaczenie: umaczenie 
f: f 
handkerchief: handkerchief 
lucas: lucas 
dammit: dammit 
contact: contact 
em: em 
turkish: turkish 
lemonade: lemonade 
instead: instead 
ml: ml 
recording: recordings recording 
compare: compare 
also: also 
distributor: distributor 
get: get 
came: came 
umaczenia: umaczenia 
played: played 
polski: polski 
kill: kill 
translation: translations translation 
slow: slow 
hardknocktv: hardknocktv 
wannabe: wannabe 
lackin: lackin 
ego: ego 
abraca: abraca 
ball: balls 
body: body 
homered: homered 
nicki: nicki 
comin: comin 
fact: facts 
resto: resto 
def: def 
chicken: chicken 
chris: chris 
cancel: cancel 
trap: trap 
keanu: keanu 
z: z 
high: high 
steal: steal 
resurgence: resurgence 
limitless: limitless 
mode: mode 
murdering: murdering 
way: way 
look: look 
fanagans: fanagans 
sir: sir 
quickly: quickly 
elia: elia 
spillin: spillin 
self: self 
vent: vent 
plannin: plannin 
nah: nah 
callin: callin 
hahahahahaha: hahahahahaha 
term: terms 
east: east 
polskie: polskie 
cabana: cabana 
hoe: hoes 
bringin: bringin 
hair: hair 
blana: blana 
interpolate: interpolate 
whopper: whopper 
bear: bear 
wheel: wheel 
bana: bana 
icy: icy 
sit: sit 
james: james 
hop: hop 
keep: keep 
la: la 
spratt: spratt 
trying: trying 
embed: embed 
beast: beast 
universal: universal 
exhibit: exhibits 
ft: ft 
visionary: visionary 
rhymed: rhymed 
three: three 
hot: hot 
gas: gas 
farsi: farsi 
well: well 
ultimate: ultimate 
lame: lame 
attack: attack 
recognized: recognized 
receive: receive 
like: like 
distinguish: distinguish 
makin: makin 
impress: impress 
westside: westside 
bapkin: bapkin 
yankee: yankees 
crow: crow 
dangerous: dangerous 
logpog: logpog 
fuck: fuck 
chika: chika 
redpartyscene: redpartyscene 
source: source 
leave: leave 
trapped: trapped 
sign: sign 
play: plays 
q: q 
millionaire: millionaire 
stay: stay 
bailard: bailard 
reel: reel 
r: r 
place: place 
favorite: favorite 
done: done 
vibe: vibe 
gun: gun 
minute: minutes 
industry: industry 
jig: jig 
llc: llc 
official: official 
kazana: kazana 
seems: seems 
insight: insight 
deserve: deserve 
caterpillar: caterpillar 
ya: ya 
e: e 
expand: expand 
platypus: platypus 
big: big 
hell: hell 
napkin: napkins 
leavin: leavin 
larese: larese 
designer: designer 
terrier: terrier 
may: may 
smokey: smokey 
repeating: repeating 
track: track 
love: love 
motherfucker: motherfuckers 
hit: hit 
crypt: crypt 
find: find 
hold: hold 
pardon: pardon 
sandlot: sandlot 
unreleased: unreleased 
work: work 
iii: iii 
sam: sam 
date: date 
girl: girls 
c: c 
fast: fast 
jeremy: jeremy 
squadeca: squadeca 
wazer: wazer 
logic: logic 
dog: dog 
chevere: chevere 
interview: interview 
h: h 
individual: individual 
certification: certifications 
cause: cause 
lull: lull 
single: single 
smoke: smoke 
internet: internet 
itsunknownmf: itsunknownmf 
everybody: everybody 
using: using 
duct: duct 
know: know 
personal: personal 
minaj: minaj 
innovation: innovation 
eminem: eminem 
transcription: transcription 
chart: charts 
might: might 
dethroned: dethroned 
malachythedemon: malachythedemon 
glexkii: glexkii 
repo: repo 
addict: addict 
subject: subject 
yeah: yeah 
dude: dude 
stamen: stamina 
dis: diss 
foamin: foamin 
bit: bit 
full: full 
catch: catch 
vocal: vocals 
urbanist: urbanist 
anybody: anybody 
thud: thud 
dare: dare 
italian: italian 
music: music 
l: l 
really: really 
question: question 
clothes: clothes 
producer: producer 
bam: bam 
isi: isis 
drop: drop 
gotta: gotta 
shop: shop 
feeling: feeling 
lady: lady 
produced: produced 
learn: learn 
toter: toters 
phoenixgold: phoenixgold 
spit: spit 
king: king 
decade: decades 
murder: murder 
flame: flame 
verse: verse 
rare: rare 
young: young 
italiana: italiana 
usin: usin 
scholar: scholars 
fire: fire 
viva: viva 
fuckin: fuckin 
interpolation: interpolations 
nowadays: nowadays 
divorcin: divorcin 
scratch: scratch 
swisher: swisher 
as: ass 
ka: ka 
traduzioni: traduzioni 
jay: jay 
beat: beat 
italiano: italiano 
ill: ill 
prodbyword: prodbyword 
