onetakedrew: onetakedrew 
dope: dope 
jones: jones 
dis: diss 
list: list 
spanked: spanked 
pbg: pbg 
fantasma: fantasma 
record: records 
xanahxlic: xanahxlic 
switch: switch 
aspect: aspect 
music: music 
l: l 
bust: bust 
outta: outta 
drive: drive 
business: business 
boostin: boostin 
travis: travis 
question: question 
war: war 
instrument: instruments 
fed: feds 
drop: drop 
gotta: gotta 
shop: shop 
produced: produced 
neet: neet 
learn: learn 
remy: remy 
lootaveli: lootaveli 
spit: spit 
miky: miky 
car: car 
verse: verse 
woodz: woodz 
young: young 
recorded: recorded 
royce: royce 
ta: ta 
wildad: wildad 
dj: dj 
leilan: leilan 
coeur: coeur 
scholar: scholars 
initially: initially 
fo: fo 
shiloh: shiloh 
beam: beams 
story: story 
fuckin: fuckin 
emperor: emperor 
drug: drug 
seth: seth 
version: version 
otm: otm 
soir: soir 
calamari: calamari 
karen: karen 
jay: jay 
beat: beat 
envidi: envidi 
moni: moni 
