damn: damn 
babysittin: babysittin 
wack: wack 
swedish: swedish 
august: august 
understand: understand 
skit: skits skit 
history: history 
guide: guide 
rather: rather 
extreme: extreme 
violent: violent 
bottle: bottles bottle 
bleu: bleu 
goose: goose 
gotti: gotti 
nakinyko: nakinyko 
timberlake: timberlake 
blood: blood 
ugly: ugly 
school: school 
promote: promote 
hip: hip 
lsdxoxo: lsdxoxo 
copyright: copyright 
hundred: hundred 
mainstream: mainstream 
biggest: biggest 
spiced: spiced 
job: jobs 
bold: bold 
certain: certain 
wee: wee 
f: f 
everyone: everyone 
bottom: bottom 
umaczenie: umaczenie 
maxo: maxo 
rest: rest 
contact: contact 
poison: poison 
em: em 
initial: initial 
indo: indo 
bringing: bringing 
orbz: orbz 
clear: clear 
ml: ml 
brought: brought 
bomb: bomb 
trippin: trippin 
cheever: cheever 
art: art 
moistrus: moistrus 
also: also 
distributor: distributor 
get: get 
eye: eyes 
umaczenia: umaczenia 
polski: polski 
kill: kill 
translation: translations 
traducci: traducci 
conscience: conscience 
connection: connection 
flask: flask 
final: final 
nation: nation 
fact: facts 
interlude: interlude 
vodka: vodka 
thing: things 
mood: mood 
cancel: cancel 
trap: trap 
z: z 
record: record records 
everyday: everyday 
grew: grew 
wave: wave 
turn: turn 
way: way 
grow: grow 
raison: raison 
new: new 
depression: depression 
gyrotron: gyrotron 
tracklist: tracklist 
damage: damage 
project: project 
household: household 
self: self 
top: top 
relief: relief 
ali: ali 
interscope: interscope 
term: terms 
baywatch: baywatch 
thought: thought 
polskie: polskie 
take: take 
black: black 
sherane: sherane 
lamar: lamar 
tune: tunes 
arrived: arrived 
interpolate: interpolate 
chrome: chrome 
strawberry: strawberry 
god: god 
sit: sit 
hop: hop 
la: la 
livin: livin 
lloyd: lloyd 
aise: aise 
embed: embed 
spoke: spoke 
first: first 
bang: bang 
siobhan: siobhan 
universal: universal 
ft: ft 
time: time 
aftermath: aftermath 
ever: ever 
collect: collect 
digital: digital 
wait: wait 
complex: complex 
hot: hot 
radio: radio 
three: three 
bos: boss 
ultimate: ultimate 
bts: bts 
zack: zack 
author: author 
cloud: cloud 
like: like 
distinguish: distinguish 
window: window 
trust: trust 
makin: makin 
cover: covers 
two: two 
better: better 
dababy: dababy 
drinker: drinker 
drink: drinks drink 
source: source 
sign: sign 
justin: justin 
q: q 
tre: tre 
day: day 
pop: pop 
stay: stay 
hopin: hopin 
r: r 
done: done 
faded: faded 
vibe: vibe 
llightskinned: llightskinned 
mutya: mutya 
llc: llc 
jimmy: jimmy 
dreamin: dreamin 
tyga: tyga 
defective: defective 
break: breaks 
korban: korban 
expand: expand 
daughter: daughter 
sad: sad 
deluxe: deluxe 
justhis: justhis 
recording: recording 
feel: feel 
pain: pain 
familiar: familiar 
helluva: helluva 
problem: problem 
spiro: spiro 
experiencing: experiencing 
address: addresses 
dave: dave 
may: may 
repeating: repeating 
flock: flock 
dark: dark 
master: master 
track: track 
derek: derek 
booba: booba 
til: til 
herbo: herbo 
love: love 
selfish: selfish 
lie: lies 
keisha: keisha 
hold: hold 
family: family 
behind: behind 
set: set 
work: work 
iii: iii 
truent: truent 
date: date 
advised: advised 
girl: girls 
stomped: stomped 
c: c 
megamix: megamix 
conscious: conscious 
inspired: inspired 
straight: straight 
mashup: mashup 
h: h 
individual: individual 
certification: certifications 
cause: cause 
kalash: kalash 
single: single 
smoke: smoke 
everybody: everybody 
know: know 
heart: heart 
personal: personal 
notch: notch 
transcription: transcription 
blvk: blvk 
chart: charts 
might: might 
recipe: recipe 
happens: happens 
idea: idea 
abusin: abusin 
yeah: yeah 
inspiration: inspiration 
seetharam: seetharam 
toasty: toasty 
strangs: strangs 
dope: dope 
dealer: dealer 
mr: mr 
sober: sober 
full: full 
dying: dying 
greenest: greenest 
brother: brother 
thirst: thirst 
sing: sing 
music: music 
l: l 
short: short 
attitude: attitudes 
door: door 
really: really 
crowd: crowd 
drive: drive 
kid: kid 
alsina: alsina 
question: question 
alexa: alexa 
something: something 
drop: drop 
speak: speak 
shop: shop 
espa: espa 
produced: produced 
ly: ly 
learn: learn 
quote: quote 
saint: saints 
car: car 
splash: splash 
wanted: wanted 
verse: verse 
maniac: maniac 
recorded: recorded 
guava: guava 
desmond: desmond 
scholar: scholars 
drake: drake 
plinofficial: plinofficial 
dot: dot 
viva: viva 
shiloh: shiloh 
story: story 
interpolation: interpolations 
as: ass 
version: version 
casual: casual 
distance: distance 
entertainment: entertainment 
fegs: fegs 
special: special 
