atlantic: atlantic 
devvon: devvon 
frayed: frayed 
fight: fight 
film: films 
playlist: playlist 
hour: hours 
sheeran: sheeran 
red: red 
e: es e 
rus: russ 
video: videos video 
featured: featured 
light: light 
tag: tags 
grant: grants 
ride: ride 
label: label 
pretty: pretty 
mc: mc 
subzxro: subzxro 
parody: parody 
character: character 
michael: michael 
ascap: ascap 
chronicle: chronicle 
thunderstorm: thunderstorm 
wap: wap 
got: got 
koledzy: koledzy 
javielito: javielito 
ace: ace 
coast: coast 
type: type 
uman: uman 
release: release 
b: b 
maltez: maltez 
turner: turner 
tiggs: tiggs 
trapso: trapso 
stallion: stallions 
ci: ci 
minecraft: minecraft 
rack: racks 
edge: edge 
pluffaduff: pluffaduff 
mp: mp 
gunna: gunna 
nav: nav 
across: across 
group: group 
would: would 
jackie: jackie 
bmi: bmi 
intro: intro 
southside: southside 
french: french 
green: green 
x: x 
one: one ones 
ek: ek 
transcriber: transcribers 
oldpee: oldpee 
westcoast: westcoast 
following: following 
decky: decky 
away: away 
leak: leak 
saunders: saunders 
track: tracks track 
barely: barely 
matu: matu 
lon: lon 
superbee: superbee 
heartbreak: heartbreak 
policy: policy 
jagged: jagged 
mutual: mutual 
publisher: publisher 
steve: steve 
influence: influence 
fresh: fresh 
chc: chc 
tamerlane: tamerlane 
kesha: kesha 
etc: etc 
sell: sell 
friend: friends 
could: could 
took: took 
eternal: eternal 
portugu: portugu 
asaf: asaf 
foot: feet 
jabashock: jabashock 
rendition: renditions rendition 
producing: producing 
risky: risky 
edit: edit 
summer: summer 
luv: luv 
annotation: annotation 
used: used 
perform: perform 
broke: broke 
company: company 
fan: fans 
sandbag: sandbag 
daymanoursavior: daymanoursavior 
bank: bank 
diaz: diaz 
polish: polish 
pikojakovoda: pikojakovoda 
worst: worst 
push: push 
trey: trey 
swag: swag 
genius: genius 
vaporwave: vaporwave 
somethin: somethin 
johnny: johnny 
version: versions version 
brota: brota 
theorist: theorist 
juicy: juicy 
pl: pl 
emanthekid: emanthekid 
day: days day 
sample: samples sample 
press: press 
vmas: vmas 
russian: russian 
club: club 
freestyle: freestyle 
upbeat: upbeat 
wunderworld: wunderworld 
issue: issues 
pt: pt 
tear: tear 
spotted: spotted 
title: title 
nicce: nicce 
vem: vem 
travy: travy 
major: major 
kaize: kaize 
cage: cage 
chakra: chakra 
pokerap: pokerap 
gon: gon 
u: u us 
bonnie: bonnie 
start: start 
verified: verified 
injektion: injektion 
n: n 
lyricist: lyricists 
ultimately: ultimately 
rmx: rmx 
g: g 
help: help 
yunglian: yunglian 
mixed: mixed 
afraid: afraid 
loli: loli 
knowledge: knowledge 
every: every 
cancer: cancer 
make: make 
twenty: twenties 
death: death 
decline: decline 
tea: tea 
line: lines 
weird: weird 
licensing: licensing 
base: base 
diop: diop 
j: j 
brasil: brasil 
assistant: assistant 
life: life 
na: na 
tng: tng 
brathwaite: brathwaite 
guest: guest 
coachman: coachman 
italiane: italiane 
pump: pump 
solitaire: solitaire 
speaker: speakers 
say: say 
clearer: clearer 
forum: forum 
lookin: lookin 
late: late 
molly: molly 
sauce: sauce 
pan: pan 
cry: cry 
said: said 
inside: inside 
mad: mad 
advertise: advertise 
exum: exum 
weeknd: weeknd 
appearance: appearances 
excluding: excluding 
watch: watch 
add: add 
kowitski: kowitski 
hey: hey 
goren: goren 
strong: strong 
medicine: medicine 
understand: understand 
prevost: prevost 
guide: guide 
rain: rain 
josh: josh 
swear: swear 
traduzione: traduzione 
deal: deal 
widzie: widzie 
bleu: bleu 
please: please 
twitter: twitter 
gut: guts 
fetty: fetty 
medley: medley 
pill: pill 
emmanuelle: emmanuelle 
pdq: pdq 
prom: prom 
outerspass: outerspass 
london: london 
school: school 
poppa: poppa 
promote: promote 
hip: hip 
bonus: bonus 
premiered: premiered 
copyright: copyright 
job: jobs 
biggest: biggest 
quelly: quelly 
polim: polim 
litatuua: litatuua 
bold: bold 
iwue: iwue 
isaac: isaac 
valley: valley 
f: f 
everyone: everyone 
alle: alle 
cover: cover covers 
lucas: lucas 
chappell: chappell 
contact: contact 
piroli: piroli 
jhn: jhn 
girlfriend: girlfriend 
em: em 
turkish: turkish 
remastered: remastered 
state: state 
aerial: aerial 
session: session 
mami: mami 
clear: clear 
ml: ml 
pippo: pippo 
xii: xii 
production: production 
tendo: tendo 
also: also 
overseas: overseas 
sha: sha 
eye: eyes 
get: get 
painmaker: painmaker 
translation: translations translation 
goat: goats 
feeling: feelings 
final: final 
boi: boi 
white: white 
skaiwater: skaiwater 
au: aus 
fact: facts 
fake: fake 
lethal: lethal 
control: control 
totorhina: totorhina 
gucci: gucci 
cancel: cancel 
briller: briller 
trap: trap 
race: race 
abzsav: abzsav 
phranchize: phranchize 
z: z 
singe: singe 
high: high 
come: come 
brings: brings 
wanker: wanker 
lowd: lowd 
turn: turn 
mastering: mastering 
way: way 
drowning: drowning 
new: new 
look: look 
info: infos 
vincent: vincent 
xxl: xxl 
fifi: fifi 
epic: epic 
top: top 
da: da 
vi: vis 
mix: mix 
virgil: virgil 
career: career 
term: terms 
freunde: freunde 
nd: nd 
east: east 
streaming: streaming 
sen: sen 
take: take 
penys: penys 
avereaux: avereaux 
original: original 
interpolate: interpolate 
jubilee: jubilee 
latinautor: latinautor 
tm: tm 
julien: julien 
legend: legend 
god: god 
reunion: reunion 
vert: vert 
hop: hop 
keep: keep 
la: la 
blow: blow 
embed: embed 
whole: whole 
weeb: weeb 
glizzy: glizzy 
luckhaos: luckhaos 
ft: ft 
shape: shape 
time: time 
gambino: gambino 
digital: digital 
galaxy: galaxy 
fame: fame 
african: african 
hot: hot 
lie: lie 
curse: curse 
karpa: karpa 
shortly: shortly 
ultimate: ultimate 
william: william 
author: author 
continuation: continuation 
like: like 
cadence: cadence 
distinguish: distinguish 
malfunction: malfunction 
million: million millions 
jayden: jayden 
two: two 
better: better 
pasco: pasco 
bean: bean 
gringo: gringo 
cmrra: cmrra 
treat: treat 
jadedloner: jadedloner 
slide: slide 
source: source 
charlieluvscarz: charlieluvscarz 
leave: leave 
trapped: trapped 
rackz: rackz 
sign: sign 
nie: nie 
q: q 
gave: gave 
pop: pop 
minnesota: minnesota 
medasin: medasin 
r: r 
slowin: slowin 
rager: rager 
der: der 
colin: colin 
grip: grips 
gun: gun 
spanish: spanish 
lif: lif 
yetii: yetii 
machine: machine 
dia: dia 
llc: llc 
official: official 
beg: beg 
insight: insight 
betrayal: betrayal 
wwa: wwa 
hotnewhiphop: hotnewhiphop 
emotional: emotional 
expand: expand 
big: big 
sad: sad 
narrative: narrative 
recording: recording 
martwi: martwi 
feel: feel 
pain: pain 
nascar: nascar 
ukraine: ukraine 
anniversary: anniversary 
problem: problem 
fetish: fetish 
zano: zano 
portuguese: portuguese 
phantom: phantom 
address: addresses 
jame: jame 
mumble: mumble 
lieu: lieu 
repeating: repeating 
completely: completely 
dark: dark 
til: til 
confirmed: confirmed 
ebeb: ebeb 
love: love 
peermusic: peermusic 
hooligann: hooligann 
meme: meme 
jrkellyrocks: jrkellyrocks 
publishing: publishing 
work: work 
set: set 
date: date 
libra: libra 
ex: ex 
frame: frame 
abuse: abuse 
platinum: platinum 
nik: nik 
konso: konso 
rudder: rudder 
c: c 
finny: finny 
girl: girls 
beef: beef 
megamix: megamix 
homage: homage 
fast: fast 
table: tables 
skit: skit 
relationship: relationship 
xo: xo 
waker: waker 
march: march 
dog: dog 
kingsolrac: kingsolrac 
mashup: mashup 
grandy: grandy 
sux: sux 
h: h 
individual: individual 
abloh: abloh 
cuny: cuny 
stackonit: stackonit 
kyloluke: kyloluke 
certification: certifications 
everybody: everybody 
early: early 
know: know 
tra: tra 
bogwandyy: bogwandyy 
personal: personal 
krypto: krypto 
bassy: bassy 
note: notes 
panika: panika 
transcription: transcription 
chart: charts 
might: might 
hard: hard 
xanny: xanny 
pedl: pedl 
lucci: lucci 
craft: craft 
heaven: heaven 
universe: universe 
yeah: yeah 
dis: diss 
mint: mint 
warner: warner 
vocal: vocals 
elijah: elijah 
gangsta: gangsta 
kim: kim 
gritty: gritty 
band: bands 
record: records 
switch: switch 
yeh: yeh 
derri: derri 
brittany: brittany 
flocco: flocco 
italian: italian 
brain: brain 
music: music 
dxboon: dxboon 
fett: fett 
corinne: corinne 
really: really 
sled: sled 
grabberzz: grabberzz 
l: l 
addicted: addicted 
atake: atake 
lee: lee 
queen: queen 
live: live 
kid: kid 
lied: lied 
dyscaine: dyscaine 
question: question 
travis: travis 
clothes: clothes 
producer: producer 
neon: neon 
drop: drop 
shop: shop 
produced: produced 
juug: juug 
learn: learn 
dev: dev 
bvtvclvn: bvtvclvn 
ian: ian 
king: king 
saint: saint 
car: car 
verse: verse 
keefer: keefer 
young: young 
maniac: maniac 
llif: llif 
topic: topics 
moving: moving 
pasto: pasto 
ssj: ssj 
italiana: italiana 
censor: censor 
dj: dj 
bene: bene 
envie: envie 
wiktor: wiktor 
scholar: scholars 
kind: kind 
moi: moi 
fire: fire 
lol: lol 
par: par 
spot: spot 
cannot: cannot 
aresa: aresa 
saw: saw 
traduzioni: traduzioni 
xy: xy 
continuing: continuing 
leslie: leslie 
abramus: abramus 
special: special 
