dp: dp 
line: lines 
suzu: suzu 
anuel: anuel 
brasil: brasil 
j: j 
licensing: licensing 
eats: eats 
horrorcore: horrorcore 
ronnie: ronnie 
felt: felt 
noize: noize 
stu: stu 
sean: sean 
sent: sent 
italiane: italiane 
flattered: flattered 
cilu: cilu 
say: say 
ol: ol 
biden: biden 
forum: forum 
late: late 
tonight: tonight 
traducciones: traducciones 
chat: chat 
aim: aim 
said: said 
mad: mad 
bebito: bebito 
fifth: fifth 
glad: glad 
cockroach: cockroaches 
ffm: ffm 
advertise: advertise 
ai: aises ais 
editor: editor 
meet: meet 
dawg: dawg 
yaniv: yaniv 
kaniff: kaniff 
saying: saying 
nothing: nothing 
malone: malone 
add: add 
hey: hey 
blew: blew 
marshall: marshall 
tattoo: tattoo 
understand: understand 
guide: guide 
rain: rain 
history: history 
violent: violent 
traduzione: traduzione 
snl: snl 
luchnik: luchnik 
biton: biton 
please: please 
medley: medley 
promote: promote 
hip: hip 
possibly: possibly 
dariusz: dariusz 
fucking: fucking 
copyright: copyright 
hendrix: hendrix 
biggest: biggest 
job: jobs 
bold: bold 
dear: dear 
storytelling: storytelling 
skylar: skylar 
idle: idle 
wee: wee 
sok: sok 
everyone: everyone 
bottom: bottom 
f: f 
old: old 
lucas: lucas 
busy: busy 
corporation: corporation 
saved: saved 
chappell: chappell 
contact: contact 
girlfriend: girlfriend 
overzealous: overzealous 
em: em 
turkish: turkish 
yummy: yummy 
morning: morning 
mooney: mooney 
sayin: sayin 
ml: ml 
rollins: rollins 
jan: jan 
yz: yz 
tito: tito 
also: also 
get: get 
considered: considered 
noun: noun 
depressed: depressed 
came: came 
elizondo: elizondo 
jarbo: jarbo 
kill: kill 
translation: translations translation 
trunk: trunk 
conscience: conscience 
traducci: traducci 
friend: friend 
irving: irving 
ilkay: ilkay 
coka: coka 
close: close 
londmix: londmix 
divorce: divorce 
bersetzung: bersetzung 
drownin: drownin 
celebrity: celebrity 
disturbing: disturbing 
ball: balls 
ensign: ensign 
stan: stan 
fact: facts 
beiser: beiser 
wrist: wrists 
growin: growin 
vodka: vodka 
lacked: lacked 
interlude: interlude 
thing: things 
mood: mood 
chris: chris 
cancel: cancel 
idol: idol 
z: z 
come: come 
dawn: dawn 
ago: ago 
supposed: supposed 
inspire: inspire 
mastering: mastering 
way: way 
steinar: steinar 
look: look 
stomper: stomper 
made: made 
lupe: lupe 
top: top 
cudi: cudi 
pete: pete 
callin: callin 
da: da 
playground: playground 
drift: drift 
mix: mix 
interscope: interscope 
without: without 
shade: shade 
single: singles 
black: black 
collins: collins 
screamin: screamin 
original: original 
chance: chance 
lord: lord 
mile: mile 
interpolate: interpolate 
jubilee: jubilee 
kendo: kendo 
whopper: whopper 
god: god 
wolski: wolski 
slastic: slastic 
hop: hop 
sencan: sencan 
picture: pictures picture 
la: la 
aubergine: aubergine 
relax: relax 
seriously: seriously 
kaleb: kaleb 
embed: embed 
aise: aise 
hestepis: hestepis 
first: first 
dna: dna 
supa: supa 
horseshoe: horseshoe 
tom: tom 
bugzy: bugzy 
ft: ft 
time: time 
last: last 
aftermath: aftermath 
ever: ever 
mpakk: mpakk 
slit: slit 
fine: fine 
hot: hot 
lie: lie 
three: three 
well: well 
ultimate: ultimate 
jot: jot 
pregnant: pregnant 
waited: waited 
receive: receive 
guy: guy 
distinguish: distinguish 
void: void 
hayehudim: hayehudim 
window: window 
helgi: helgi 
benjamin: benjamin 
cover: covers 
two: two 
better: better 
bean: bean 
mark: mark 
quasi: quasi 
dalab: dalab 
theory: theory 
treat: treat 
hurt: hurt 
follow: follow 
rigby: rigby 
fuck: fuck 
sick: sick 
signed: signed 
forgot: forgot 
source: source 
need: need 
sign: sign 
play: plays 
ixx: ixx 
matt: matt 
legacy: legacy 
vii: vii 
sooner: sooner 
q: q 
day: day 
stay: stay 
r: r 
pop: pop 
bennett: bennett 
nicky: nicky 
gun: gun 
yves: yves 
critic: critics 
bass: bass 
llc: llc 
sawa: sawa 
truly: truly 
tape: tape 
downer: downers 
award: awards 
lebron: lebron 
deserve: deserve 
becomes: becomes 
insight: insight 
couple: couple 
chloe: chloe 
bateman: bateman 
always: always 
daughter: daughter 
expand: expand 
minded: minded 
silja: silja 
must: must 
recording: recording 
feel: feel 
pain: pain 
sincerely: sincerely 
problem: problem 
suffocates: suffocates 
portuguese: portuguese 
jaill: jaill 
address: addresses 
mac: mac 
may: may 
repeating: repeating 
smokey: smokey 
dark: dark 
track: track 
ken: ken 
revealed: revealed 
love: love 
public: public 
hit: hit 
lsp: lsp 
subbota: subbota 
disstrack: disstrack 
sendin: sendin 
ama: ama 
office: office 
lyricist: lyricist 
ne: ne 
kyrie: kyrie 
date: date 
food: food 
ex: ex 
girl: girls 
nostra: nostra 
send: send 
c: c 
house: house 
skit: skit 
beef: beef 
maru: maru 
fast: fast 
autograph: autograph 
anyways: anyways 
grizzy: grizzy 
conscious: conscious 
sharp: sharp 
gunt: gunt 
sorry: sorry 
mashup: mashup 
stans: stans 
h: h 
stupid: stupid 
individual: individual 
oxxxymiron: oxxxymiron 
tha: tha 
certification: certifications 
respect: respect 
cause: cause 
informal: informal 
lp: lp 
troy: troy 
counselin: counselin 
four: four 
masked: masked 
week: weeks 
know: know 
rolling: rolling 
kaluga: kaluga 
perfect: perfect 
wifebeatmane: wifebeatmane 
personal: personal 
criminal: criminal 
beck: beck 
eminem: eminem 
transcription: transcription 
chart: charts 
might: might 
macdonald: macdonald 
kaponi: kaponi 
entered: entered 
gone: gone 
matthew: matthew 
dude: dude 
twister: twister 
bxshxr: bxshxr 
dis: diss 
mr: mr 
brian: brian 
full: full 
warner: warner 
brother: brother 
kim: kim 
record: records 
nate: nate 
ash: ash 
dare: dare 
value: value 
italian: italian 
music: music 
l: l 
really: really 
news: news 
package: package 
denzel: denzel 
drive: drive 
live: live 
business: business 
lied: lied 
question: question 
producer: producer 
drop: drop 
gotta: gotta 
reminds: reminds 
shop: shop 
espa: espa 
produced: produced 
learn: learn 
king: king 
rapfan: rapfan 
sjalli: sjalli 
sense: sense 
dido: dido 
car: car 
stel: stel 
bigslimthin: bigslimthin 
wanted: wanted 
verse: verse 
recorded: recorded 
royce: royce 
johnyboy: johnyboy 
italiana: italiana 
shock: shock 
dj: dj 
administration: administration 
bleeds: bleeds 
card: cards 
scholar: scholars 
fire: fire 
seen: seen 
ripped: ripped 
kodama: kodama 
herman: herman 
fuckin: fuckin 
story: story 
interpolation: interpolations 
guess: guess 
drug: drug 
killshot: killshot 
as: ass 
saw: saw 
traduzioni: traduzioni 
entertainment: entertainment 
rd: rd 
italiano: italiano 
oxford: oxford 
moni: moni 
kp: kpss 
willa: willa 
