cobra: cobra 
cmrra: cmrra 
fuck: fuck 
huh: huh 
dough: dough 
thundercat: thundercat 
source: source 
sign: sign 
bd: bd 
foreigns: foreigns 
q: q 
dat: dat 
r: r 
noise: noise 
done: done 
certifcations: certifcations 
vibe: vibe 
llc: llc 
ross: ross 
tyga: tyga 
insight: insight 
e: e 
always: always 
expand: expand 
regarding: regarding 
pausing: pausing 
isaacwhy: isaacwhy 
big: big 
recording: recording 
citgo: citgo 
nascar: nascar 
talkin: talkin 
caught: caught 
problem: problem 
repeating: repeating 
trentcore: trentcore 
track: track 
love: love 
motherfucker: motherfuckers motherfucker 
hit: hit 
publishing: publishing 
work: work 
soul: soul 
glory: glory 
date: date 
girl: girls 
c: c 
house: house 
skit: skit 
lullaby: lullaby 
putting: putting 
dog: dog 
h: h 
kay: kay 
individual: individual 
exclusive: exclusive 
pieczara: pieczara 
playin: playin 
sula: sula 
know: know 
tra: tra 
personal: personal 
outstanding: outstanding 
hallelujah: hallelujah 
transcription: transcription 
chart: charts 
might: might 
pedl: pedl 
dope: dope 
dealer: dealer 
sober: sober 
full: full 
warner: warner 
catch: catch 
soulja: soulja 
gate: gates 
band: bands 
record: records 
slatts: slatts 
lamron: lamron 
however: however 
ovrnite: ovrnite 
music: music 
l: l 
comma: commas 
sunrise: sunrise 
francis: francis 
lava: lava 
live: live 
br: br 
question: question 
speak: speak 
drop: drop 
shop: shop 
produced: produced 
arrested: arrested 
learn: learn 
explodes: explodes 
king: king 
coca: coca 
often: often 
musa: musa 
verse: verse 
szotyi: szotyi 
hunt: hunt 
young: young 
sparerai: sparerai 
tkekareofit: tkekareofit 
scholar: scholars 
luucii: luucii 
viva: viva 
laughin: laughin 
fuckin: fuckin 
cannot: cannot 
spot: spot 
drug: drug 
as: ass 
version: version 
entertainment: entertainment 
convertible: convertible 
wylerg: wylerg 
cheney: cheney 
yumi: yumi 
jay: jay 
beat: beat 
drink: drink 
delaine: delaine 
