swore: swore 
mad: mad 
nme: nme 
advertise: advertise 
capitan: capitan 
many: many 
virgin: virgin 
dawg: dawg 
additional: additional 
add: add 
saying: saying 
happenin: happenin 
swedish: swedish 
alford: alford 
dumphop: dumphop 
fact: fact facts 
understand: understand 
understood: understood 
rather: rather 
guide: guide 
traduzione: traduzione 
funk: funk 
break: break 
boob: boob 
medley: medley 
nose: nose 
promote: promote 
hip: hip 
foot: foot 
copyright: copyright 
based: based 
biggest: biggest 
job: jobs 
bold: bold 
hood: hood 
refused: refused 
berry: berry 
umaczenie: umaczenie 
bottom: bottom 
series: series 
complexion: complexion 
f: f 
chappell: chappell 
contact: contact 
terrace: terrace 
em: em 
state: state 
williams: williams 
idea: ideas 
ml: ml 
brought: brought 
art: art 
tracky: tracky 
route: routes 
also: also 
get: get 
umaczenia: umaczenia 
polski: polski 
kill: kill 
translation: translations translation 
traducci: traducci 
marlon: marlon 
smell: smell 
white: white 
essence: essence 
interlude: interlude 
explained: explained 
accept: accept 
cancel: cancel 
reaction: reaction 
limo: limo 
enslaved: enslaved 
z: z 
high: high 
record: record records 
whitney: whitney 
nitro: nitro 
emi: emi 
new: new 
headed: headed 
jen: jen 
made: made 
top: top 
nastiest: nastiest 
ali: ali 
archive: archives 
mix: mix 
interscope: interscope 
term: terms 
flag: flag 
polskie: polskie 
take: take 
black: black 
screamin: screamin 
politics: politics 
original: original 
lamar: lamar 
standing: standing 
payback: payback 
interpolate: interpolate 
whopper: whopper 
ginger: ginger 
james: james 
hop: hop 
la: la 
bounce: bounce 
protomac: protomac 
embed: embed 
whole: whole 
throne: throne 
kedrick: kedrick 
peasant: peasant 
kung: kung 
beast: beast 
tried: tried 
universal: universal 
ft: ft 
court: court 
aftermath: aftermath 
ever: ever 
homies: homies 
monkey: monkey 
main: main 
hot: hot 
lie: lie 
three: three 
mortal: mortal 
ultimate: ultimate 
judge: judge 
koopa: koopa 
like: like 
distinguish: distinguish 
folk: folks 
trust: trust 
million: million 
burn: burns 
cover: covers 
two: two 
percent: percent 
theory: theory 
kanye: kanye 
fuck: fuck 
mijac: mijac 
thundercat: thundercat 
source: source 
need: need 
sign: sign 
trombone: trombone 
q: q 
matt: matt 
mile: miles 
motherfuckin: motherfuckin 
pop: pop 
r: r 
annie: annie 
thinking: thinking 
done: done 
minion: minion 
minute: minutes 
spanish: spanish 
bass: bass 
llc: llc 
walkin: walkin 
parliament: parliament 
dry: dry 
insight: insight 
working: working 
suicidal: suicidal 
couple: couple 
always: always 
expand: expand 
slidin: slidin 
traduceri: traduceri 
big: big 
mayfield: mayfield 
recording: recording 
vagina: vagina 
talkin: talkin 
great: great 
portuguese: portuguese 
repeating: repeating 
track: track 
desire: desires 
love: love 
motherfucker: motherfuckers 
growing: growing 
family: family 
behind: behind 
publishing: publishing 
work: work 
lyricist: lyricist 
minnick: minnick 
soul: soul 
date: date 
institutionalized: institutionalized 
girl: girls 
c: c 
adrienne: adrienne 
conscious: conscious 
march: march 
martin: martin 
straight: straight 
dog: dog 
mashup: mashup 
h: h 
individual: individual 
stage: stage 
escape: escape 
buildin: buildin 
shoot: shoot 
dollar: dollar 
blacker: blacker 
everybody: everybody 
four: four 
heart: heart 
poem: poem 
personal: personal 
criminal: criminal 
baller: baller 
transcription: transcription 
chart: charts 
might: might 
hard: hard 
honest: honest 
simplify: simplify 
yeah: yeah 
inspiration: inspiration 
plantation: plantation 
pick: pick 
enomoto: enomoto 
ghostwriter: ghostwriter 
full: full 
waiting: waiting 
warner: warner 
vocal: vocals 
gettin: gettin 
proud: proud 
kenaii: kenaii 
italian: italian 
music: music 
l: l 
really: really 
butterfly: butterfly 
clinton: clinton 
struggle: struggle 
mtv: mtv 
queen: queen 
live: live 
keel: keel 
question: question 
producer: producer 
sucker: sucker 
something: something 
drop: drop 
gotta: gotta 
shop: shop 
espa: espa 
produced: produced 
learn: learn 
violin: violin 
king: king 
colbert: colbert 
siddie: siddie 
wanted: wanted 
verse: verse 
happened: happened 
tv: tv 
whitt: whitt 
exactly: exactly 
italiana: italiana 
dj: dj 
prince: prince 
scholar: scholars 
tinted: tinted 
dot: dot 
viva: viva 
mayor: mayor 
story: story 
interpolation: interpolations 
nk: nk 
version: version 
anna: anna 
traduzioni: traduzioni 
entertainment: entertainment 
jay: jay 
beat: beat 
italiano: italiano 
bone: bone 
atv: atv 
pryor: pryor 
