damn: damn 
fucked: fucked 
learned: learned 
bmi: bmi 
sticky: sticky 
intro: intro 
french: french 
inc: inc 
venus: venus 
x: x 
one: one 
transcriber: transcribers 
night: night 
deceased: deceased 
track: tracks track 
pac: pac 
peace: peace 
joshua: joshua 
myke: myke 
policy: policy 
insult: insult 
publisher: publisher 
staff: staff 
bigg: bigg 
sa: sa 
cu: cu 
tamerlane: tamerlane 
kendrick: kendrick 
jasiah: jasiah 
quadruple: quadruple 
copied: copied 
friend: friends 
etc: etc 
fran: fran 
took: took 
sell: sell 
dr: dr 
soon: soon 
az: az 
biggshot: biggshot 
gunnin: gunnin 
satiric: satiric 
jayz: jayz 
lane: lane 
zay: zay 
anthem: anthem 
unconditional: unconditional 
summer: summer 
adfu: adfu 
click: click 
used: used 
annotation: annotation 
pie: pies 
grab: grab 
realest: realest 
air: air 
mob: mob 
fan: fans 
case: case 
poisonous: poisonous 
best: best 
cube: cube 
spawned: spawned 
odmgdia: odmgdia 
woah: woah 
push: push 
told: told 
genius: genius 
somethin: somethin 
nil: nil 
johnny: johnny 
lost: lost 
sample: samples sample 
featuring: featuring 
juicy: juicy 
lyte: lyte 
tupac: tupac 
press: press 
cut: cut 
five: five 
freestyle: freestyle 
incident: incident 
tot: tot 
rap: rap 
nosfe: nosfe 
heartz: heartz 
faggoty: faggoty 
worked: worked 
fatal: fatal 
pt: pt 
mike: mike 
murdered: murdered 
wide: wide 
maruego: maruego 
long: long 
yg: yg 
homie: homie 
gon: gon 
steady: steady 
u: u us 
shootin: shootin 
singin: singin 
mama: mama 
ensinando: ensinando 
verified: verified 
hit: hits hit 
n: n 
qrealwitdasteel: qrealwitdasteel 
aliz: aliz 
enlisted: enlisted 
posse: posse 
wife: wife 
g: g 
scenario: scenario 
face: face 
grandma: grandma 
skepta: skepta 
help: help 
obsessed: obsessed 
paper: paper 
mar: mars 
knowledge: knowledge 
every: every 
murda: murda 
collar: collar 
city: city 
quad: quad 
make: make 
laugh: laugh 
ar: ar 
cinema: cinema 
west: west 
dream: dream 
death: death 
bar: bars 
line: lines 
licensing: licensing 
gold: gold 
j: j 
murderer: murderer 
coked: coked 
nipsey: nipsey 
yo: yo 
life: life 
felt: felt 
th: th 
gimme: gimme 
savas: savas 
golden: golden 
mu: mu 
killin: killin 
feud: feud 
sherm: sherm 
loc: loc 
change: change changes 
doped: doped 
quick: quick 
forum: forum 
crash: crash 
interpolated: interpolated 
dima: dima 
tonight: tonight 
bamberg: bamberg 
michto: michto 
minz: minz 
said: said 
inside: inside 
mad: mad 
jun: jun 
mothafuckin: mothafuckin 
advertise: advertise 
ai: aises ais 
many: many 
add: add 
crew: crew 
smacked: smacked 
menace: menace 
shindy: shindy 
bauer: bauer 
rocky: rocky 
kelsey: kelsey 
understand: understand 
florida: florida 
jewel: jewels 
guide: guide 
trap: traps 
familia: familia 
funk: funk 
need: needs need 
shooting: shooting 
gotti: gotti 
mourn: mourn 
break: break 
sucka: sucka 
approach: approach 
ugly: ugly 
romanized: romanized 
occurs: occurs 
promote: promote 
hip: hip 
temptation: temptations 
smokin: smokin 
spank: spank 
copyright: copyright 
biggest: biggest 
dogg: dogg 
bold: bold 
began: began 
dear: dear 
herb: herbs 
f: f 
alle: alle 
shank: shank 
xl: xl 
toss: toss 
era: era 
rbe: rbe 
chappell: chappell 
contact: contact 
weaker: weaker 
em: em 
squad: squad 
riak: riak 
scene: scene 
hilltop: hilltop 
cuidando: cuidando 
ml: ml 
outlaw: outlaw 
brooklyn: brooklyn 
bomb: bomb 
posthumous: posthumous 
ayo: ayo 
also: also 
afiquacks: afiquacks 
glock: glock 
get: get 
runnin: runnin 
came: came 
mean: mean 
robbed: robbed 
bassline: bassline 
notorious: notorious 
management: management 
shooter: shooter 
kill: kill 
translation: translations translation 
approachin: approachin 
slow: slow 
amerikaz: amerikaz 
druzhba: druzhba 
vlad: vlad 
peep: peep 
caper: caper 
white: white 
puff: puff 
nation: nation 
smoked: smoked 
au: aus 
comin: comin 
fact: facts 
fake: fake 
gank: gank 
interlude: interlude 
keep: keeps keep 
lanez: lanez 
thing: things 
leonardo: leonardo 
ginex: ginex 
chris: chris 
bring: bring 
cancel: cancel 
meek: meek 
gem: gem 
z: z 
na: nas 
choke: choke 
high: high 
record: record records 
heart: hearts heart 
come: come 
solar: solar 
tory: tory 
way: way 
emi: emi 
grow: grow 
new: new 
believed: believed 
look: look 
project: project 
made: made 
self: self 
front: front 
sansar: sansar 
rea: rea 
top: top 
da: da 
ninety: nineties 
piece: pieces 
ali: ali 
level: level 
interscope: interscope 
everlast: everlast 
term: terms 
east: east 
caesar: caesar 
troublesome: troublesome 
schwarz: schwarz 
take: take 
open: open 
bringin: bringin 
reply: reply 
jetz: jetz 
black: black 
hoodie: hoodie 
original: original 
lord: lord 
whopper: whopper 
interpolate: interpolate 
franne: franne 
latinautor: latinautor 
bear: bear 
jubilee: jubilee 
walida: walida 
god: god 
blain: blain 
hop: hop 
dis: dis diss 
livin: livin 
bussin: bussin 
aise: aise 
embed: embed 
hussein: hussein 
kan: kan 
whole: whole 
men: men 
kick: kick 
first: first 
fingaz: fingaz 
poppin: poppin 
beast: beast 
sho: sho 
ninyile: ninyile 
universal: universal 
purposefully: purposefully 
opinion: opinion 
daddy: daddy 
time: time 
ft: ft 
rank: rank 
last: last 
herbovelli: herbovelli 
homies: homies 
seizure: seizure 
odds: odds 
golde: golde 
hot: hot 
radio: radio 
three: three 
settin: settin 
drugz: drugz 
drakeo: drakeo 
hussle: hussle 
well: well 
ultimate: ultimate 
attack: attack 
amill: amill 
like: like 
distinguish: distinguish 
knife: knife 
joke: joke 
varrosi: varrosi 
cover: covers 
two: two 
westside: westside 
better: better 
meine: meine 
mark: mark 
cmrra: cmrra 
theory: theory 
dmx: dmx 
fuck: fuck 
ceas: ceas 
huh: huh 
guilewa: guilewa 
snoop: snoop 
jari: jari 
frank: frank 
went: went 
accident: accident 
coppin: coppin 
angeles: angeles 
source: source 
leave: leave 
claim: claim 
trapped: trapped 
thetopseed: thetopseed 
sign: sign 
q: q 
motherfuckin: motherfuckin 
millionaire: millionaire millionaires 
pop: pop 
day: day 
hopin: hopin 
seguimos: seguimos 
r: r 
vibe: vibe 
gun: gun guns 
bummy: bummy 
cunt: cunts 
llc: llc 
direct: direct 
hour: hour 
beg: beg 
runtz: runtz 
insight: insight 
deserve: deserve 
ya: ya 
prison: prison 
e: e 
cia: cia 
million: millions 
always: always 
expand: expand 
child: child 
pistol: pistols 
garrett: garrett 
big: big 
kadafi: kadafi 
recording: recording 
feel: feel 
talkin: talkin 
plus: plus 
mac: mac 
aggravated: aggravated 
shakur: shakur 
may: may 
los: los 
repeating: repeating 
rooted: rooted 
fredro: fredro 
bhabie: bhabie 
yonezu: yonezu 
involved: involved 
til: til 
rc: rc 
herbo: herbo 
revealed: revealed 
love: love 
grady: grady 
motherfucker: motherfuckers motherfucker 
bra: bra 
ssio: ssio 
hold: hold 
sob: sob 
twork: twork 
disstrack: disstrack 
ight: ight 
andern: andern 
knot: knot 
publishing: publishing 
set: set 
azerbaijani: azerbaijani 
date: date 
wax: wax 
nane: nane 
abuse: abuse 
puya: puya 
c: c 
warned: warned 
house: house 
beef: beef 
hood: hoods 
arguably: arguably 
ak: ak 
crossed: crossed 
straight: straight 
rondonumbanine: rondonumbanine 
weak: weak 
tide: tide 
ja: ja 
interview: interview 
h: h 
stupid: stupid 
individual: individual 
cause: cause 
smoke: smoke 
belt: belts 
everybody: everybody 
method: method 
rapfilm: rapfilm 
hail: hail 
know: know 
uppercut: uppercut 
guard: guard 
personal: personal 
notch: notch 
transcription: transcription 
hahaha: hahaha 
chart: charts 
might: might 
exacerbated: exacerbated 
hard: hard 
loski: loski 
bannupprince: bannupprince 
eminem: eminem 
mothafucka: mothafucka 
yeah: yeah 
cannon: cannons 
husslaah: husslaah 
dope: dope 
jones: jones 
career: careers 
mr: mr 
spanked: spanked 
mint: mint 
full: full 
diddy: diddy 
warner: warner 
gangsta: gangsta 
kim: kim 
vicky: vicky 
carlos: carlos 
gettin: gettin 
swiss: swiss 
merc: merc 
vich: vich 
star: stars 
music: music 
l: l 
fool: fools 
comma: commas 
faker: faker 
bust: bust 
killas: killas 
rivalry: rivalry 
live: live 
cop: cops 
dressin: dressin 
keel: keel 
question: question 
mafia: mafia 
player: player 
killa: killa 
dex: dex 
drop: drop 
gotta: gotta 
seeed: seeed 
shop: shop 
produced: produced 
learn: learn 
eyez: eyez 
ahmer: ahmer 
point: points 
brutto: brutto 
wanted: wanted 
young: young 
recorded: recorded 
sheik: sheik 
royce: royce 
yaki: yaki 
ap: ap 
dj: dj 
scholar: scholars 
chaser: chaser 
directly: directly 
plea: pleas 
picture: picture 
drake: drake 
dsds: dsds 
urltv: urltv 
fell: fell 
ninho: ninho 
fuckin: fuckin 
interpolation: interpolations 
infinity: infinity 
several: several 
aresa: aresa 
mixx: mixx 
guess: guess 
glocks: glocks 
biggie: biggie 
as: ass 
version: version 
saw: saw 
otm: otm 
feed: feed 
jay: jay 
beat: beat 
umpg: umpg 
drink: drink 
finish: finish 
package: packages 
