renewed: renewed 
rape: rape 
brrr: brrr 
transcriber: transcribers 
beyond: beyond 
x: x 
deceased: deceased 
agent: agent 
brow: brows 
raise: raise 
luis: luis 
ykj: ykj 
policy: policy 
dissin: dissin 
flawless: flawless 
especially: especially 
publisher: publisher 
slim: slim 
kendrick: kendrick 
ten: ten 
pretend: pretend pretends 
pounder: pounder 
etc: etc 
sell: sell 
could: could 
fran: fran 
took: took 
portugu: portugu 
penny: pence 
lose: lose 
paul: paul 
foot: feet 
roba: roba 
counseling: counseling 
sub: sub 
pootie: pootie 
mentally: mentally 
annotation: annotation 
listen: listen 
forty: forties 
bet: bet 
bank: bank 
warm: warm 
rumor: rumor 
consist: consist 
krupskaya: krupskaya 
take: takes take 
person: person 
genius: genius 
suck: sucks 
people: people 
explored: explored 
purpose: purpose 
sample: samples sample 
dang: dang 
listenin: listenin 
simply: simply 
press: press 
russian: russian 
club: club 
freestyle: freestyle 
chaos: chaos 
ironin: ironin 
theme: themes 
mouth: mouths 
rap: rap 
pt: pt 
mike: mike 
murdered: murdered 
title: title 
pishro: pishro 
upchurch: upchurch 
else: else 
malt: malt 
forever: forever 
lyrically: lyrically 
u: u us 
focusing: focusing 
talent: talent 
burger: burger 
enemy: enemies 
lay: lay 
lyricist: lyricists 
n: n 
verified: verified 
number: number 
rise: rise 
g: g 
face: face 
scurred: scurred 
marj: marj 
esteem: esteem 
help: help 
serpent: serpent 
harder: harder 
knowledge: knowledge 
fed: fed 
critiqued: critiqued 
adi: adi 
missive: missives 
nfing: nfing 
make: make 
seem: seem 
dream: dream 
finally: finally 
novelist: novelist 
death: death 
base: base 
tea: tea 
mojo: mojo 
brasil: brasil 
licensing: licensing 
j: j 
sony: sony 
yo: yo 
mouthful: mouthful 
stooping: stooping 
goner: goner 
th: th 
someone: someone 
sean: sean 
sent: sent 
italiane: italiane 
pump: pump 
peach: peach 
finger: fingers finger 
nod: nod 
cent: cents 
say: say 
ol: ol 
plane: plane 
sure: sure 
aw: aw 
prob: prob 
crash: crash 
lookin: lookin 
forum: forum 
meaty: meaty 
harj: harj 
traducciones: traducciones 
fan: fan 
aim: aim 
said: said 
mad: mad 
advertise: advertise 
copy: copy copies 
ai: aises ais 
many: many 
meet: meet 
echale: echale 
dawg: dawg 
additional: additional 
watch: watch 
add: add 
saying: saying 
porterhouse: porterhouse 
spike: spike 
august: august 
bk: bk 
fact: fact facts 
understand: understand 
rather: rather 
guide: guide 
tenth: tenths 
sack: sack 
traduzione: traduzione 
break: break 
colorblind: colorblind 
pill: pill 
promote: promote 
hip: hip 
possibly: possibly 
alike: alike 
fucking: fucking 
kobalt: kobalt 
basically: basically 
copyright: copyright 
hundred: hundred 
biggest: biggest 
ny: ny 
job: jobs 
bold: bold 
tang: tang 
wee: wee 
f: f 
everyone: everyone 
bottom: bottom 
underway: underway 
old: old 
xl: xl 
lucas: lucas 
era: era 
charlamagne: charlamagne 
maj: maj 
contact: contact 
em: em 
turkish: turkish 
state: state 
sayin: sayin 
wang: wang 
nervous: nervous 
ml: ml 
brought: brought 
banger: bangers 
towards: towards 
also: also 
distributor: distributor 
get: get 
vise: vise 
eye: eyes 
mean: mean 
translation: translations translation 
traducci: traducci 
jesus: jesus 
know: knows know 
close: close 
third: thirds 
uroovaak: uroovaak 
lit: lit 
stan: stan 
protagonist: protagonist 
comin: comin 
watchin: watchin 
resto: resto 
gucci: gucci 
chicken: chicken 
worshipped: worshipped 
bring: bring 
verdict: verdict 
cancel: cancel 
trap: trap 
bottle: bottle 
z: z 
slaughterhouse: slaughterhouse 
fence: fence 
ib: ib 
criticism: criticism 
audi: audi 
turn: turn 
syrup: syrup 
president: president 
igg: igg 
least: least 
anyway: anyway 
way: way 
nice: nice 
new: new 
mastering: mastering 
givin: givin 
welcome: welcome 
dump: dump 
nah: nah 
woulda: woulda 
secret: secret 
ronny: ronny 
xan: xan 
level: level 
blink: blink 
interscope: interscope 
east: east 
sidekick: sidekick 
without: without 
term: terms 
kala: kala 
bar: bar 
imitate: imitate 
whopper: whopper 
interpolate: interpolate 
chain: chain 
smash: smash 
icy: icy 
beef: beefs beef 
god: god 
hop: hop 
bashed: bashed 
la: la 
response: response 
aise: aise 
embed: embed 
michigan: michigan 
first: first 
bang: bang 
sourpuss: sourpuss 
beast: beast 
pannin: pannin 
tried: tried 
universal: universal 
opinion: opinion 
worth: worth 
court: court 
last: last 
donald: donald 
aftermath: aftermath 
ever: ever 
campana: campana 
ft: ft 
wait: wait 
donkey: donkey 
hot: hot 
retaliate: retaliate 
strange: strange 
since: since 
well: well 
ultimate: ultimate 
criticizes: criticizes 
nine: nine 
ink: ink 
like: like 
guy: guy 
distinguish: distinguish 
greatness: greatness 
makin: makin 
sand: sand 
cover: covers 
two: two 
better: better 
contains: contains 
lera: lera 
gate: gate 
demon: demons 
slippin: slippin 
fuck: fuck 
apple: apple 
bleed: bleed 
went: went 
punch: punch 
source: source 
need: need 
sign: sign 
q: q 
half: half 
day: day 
stepping: stepping 
r: r 
attention: attention 
vice: vice 
crest: crest 
done: done 
skull: skull 
industry: industry 
spanish: spanish 
pipe: pipe 
critic: critics 
quarter: quarter 
llc: llc 
mumbo: mumbo 
award: awards 
olive: olive 
wink: wink 
insight: insight 
million: millions 
studio: studios 
expand: expand 
puttin: puttin 
must: must 
come: comes 
recording: recording 
feel: feel 
talkin: talkin 
spell: spell 
caught: caught 
portuguese: portuguese 
mumblin: mumblin 
mistake: mistake mistakes 
mumble: mumble 
may: may 
stomach: stomach 
repeating: repeating 
chloraseptic: chloraseptic 
track: track 
til: til 
love: love 
public: public 
hit: hit 
hold: hold 
valium: valium 
publishing: publishing 
flick: flick 
date: date 
ex: ex 
girl: girls 
azae: azae 
c: c 
reservoir: reservoir 
sold: sold 
skit: skit 
hungry: hungry 
straight: straight 
sorry: sorry 
logic: logic 
chevere: chevere 
reached: reached 
pummel: pummel 
weak: weak 
jumbled: jumbled 
h: h 
stupid: stupid 
individual: individual 
recovery: recovery 
cause: cause 
lp: lp 
shrink: shrink 
everybody: everybody 
eric: eric 
billy: billy 
venom: venom 
personal: personal 
pink: pink 
eminem: eminem 
transcription: transcription 
chart: charts 
might: might 
honest: honest 
gone: gone 
idea: idea 
yeah: yeah 
pick: pick 
brian: brian 
list: list 
full: full 
christ: christ 
breath: breath 
wrench: wrench 
vocal: vocals 
bit: bit 
cr: cr 
band: bands 
determined: determined 
record: records 
switch: switch 
misconstrued: misconstrued 
burden: burden 
italian: italian 
music: music 
l: l 
longer: longer 
really: really 
news: news 
live: live 
business: business 
kid: kid 
question: question 
orange: orange 
mention: mention 
producer: producer 
isi: isis 
continues: continues 
drop: drop 
shop: shop 
espa: espa 
produced: produced 
ly: ly 
learn: learn 
spit: spit 
king: king 
sense: sense 
dido: dido 
emcee: emcee 
young: young 
recorded: recorded 
illadaproducer: illadaproducer 
skim: skim 
italiana: italiana 
dj: dj 
preferably: preferably 
scholar: scholars 
motherfucker: motherfucker 
ooouuu: ooouuu 
fire: fire 
viva: viva 
penis: penis 
fuckin: fuckin 
interpolation: interpolations 
several: several 
par: par 
caliber: caliber 
guess: guess 
flesh: flesh 
film: film 
traduzioni: traduzioni 
entertainment: entertainment 
audio: audio 
continuing: continuing 
ill: ill 
atv: atv 
special: special 
