equality: equality 
tribbett: tribbett 
commentary: commentary 
band: band 
looking: looking 
national: national 
knee: knees 
deposit: deposit 
contributor: contributor contributors 
actually: actually 
profit: profit 
misusing: misusing 
read: read 
english: english 
part: parts part 
free: free 
past: past 
header: headers 
right: right rights 
street: street 
background: background 
performance: performance performances 
ask: ask 
written: written 
format: format 
phrase: phrase 
pharrell: pharrell 
triple: triple 
vocalist: vocalists 
ah: ah 
workin: workin 
developer: developers 
bushido: bushido 
probably: probably 
casanova: casanova 
motherfucking: motherfucking 
pecf: pecf 
delude: delude 
senseless: senseless 
typing: typing 
america: america 
bmg: bmg 
gunther: gunther 
phonographic: phonographic 
john: john 
director: director 
drown: drown 
remix: remix 
die: die 
wesley: wesley 
eventually: eventually 
mixing: mixing 
view: view 
powerful: powerful 
dead: dead 
musical: musical 
visit: visit 
solidarity: solidarity 
created: created 
clue: clue 
power: power 
responded: responded 
june: june 
head: head 
partner: partner 
p: p 
mean: means mean 
killed: killed 
see: see 
uplifting: uplifting 
keith: keith 
uh: uh 
suggesting: suggesting 
month: months 
coulda: coulda 
fun: fun 
allegro: allegro 
hook: hook 
remembered: remembered 
broken: broken 
different: different 
remember: remember 
cost: cost 
geraldo: geraldo 
cop: cop 
shot: shot 
fight: fight 
rock: rock 
enough: enough 
e: es e 
video: videos video 
pussy: pussy 
proof: proof 
featured: featured 
neli: neli 
taylor: taylor 
album: album 
tag: tags 
word: words 
driven: driven 
home: home 
pretty: pretty 
label: label 
grant: grants 
optimistic: optimistic 
pat: pat 
water: water 
matter: matter 
apollo: apollo 
ascap: ascap 
al: al 
act: acts 
got: got 
dre: dre 
coast: coast 
zho: zho 
recent: recent 
type: type 
burden: burdens 
release: release 
b: b 
evil: evil evils 
gangster: gangster 
across: across 
group: group 
givez: givez 
playing: playing 
ferg: ferg 
would: would 
hear: hear 
fucked: fucked 
bmi: bmi 
sow: sow 
diomedes: diomedes 
intro: intro 
french: french 
svensk: svensk 
randhawa: randhawa 
x: x 
feel: feels feel 
transcriber: transcribers 
idk: idk 
rivera: rivera 
lot: lot 
received: received 
track: tracks track 
challenge: challenge 
via: via 
policy: policy 
destruct: destruct 
publisher: publisher 
influence: influence 
future: future 
reason: reason 
kendrick: kendrick 
production: productions 
offset: offset 
reality: reality 
etc: etc 
sell: sell 
could: could 
fran: fran 
took: took 
topic: topic 
portugu: portugu 
dr: dr 
wall: walls 
ape: ape 
lane: lane 
anthem: anthem 
writer: writer 
summer: summer 
annotation: annotation 
provides: provides 
bet: bet 
life: lives life 
brutality: brutality 
candace: candace 
father: father 
jazz: jazz 
best: best 
polish: polish 
moonshooter: moonshooter 
prayer: prayers 
mall: mall 
tune: tune 
coming: coming 
person: person 
genius: genius 
alto: alto 
awwright: awwright 
people: people 
sample: samples sample 
purpose: purpose 
kunta: kunta 
blue: blue 
press: press 
cut: cut 
russian: russian 
five: five 
performed: performed 
freestyle: freestyle 
aggressive: aggressive 
rap: rap 
sound: sound sounds 
year: years 
worked: worked 
spectrasonics: spectrasonics 
pt: pt 
mike: mike 
nominated: nominated 
aa: aa 
homie: homie 
grammys: grammys 
gon: gon 
else: else 
firefly: firefly 
u: u us 
sometimes: sometimes 
believe: believe 
verified: verified 
amid: amid 
context: context 
ultimately: ultimately 
n: n 
g: g 
face: face 
tired: tired 
larson: larson 
chad: chad 
wondering: wondering 
candy: candy 
twenty: twenty 
lay: lays 
afraid: afraid 
assures: assures 
show: show 
mixed: mixed 
left: left 
sounwave: sounwave 
coleman: coleman 
room: room 
pride: pride 
knowledge: knowledge 
every: every 
space: space 
tay: tay 
tmz: tmz 
pocket: pocket 
west: west 
death: death 
tea: tea 
line: lines 
higher: higher 
gold: gold 
brasil: brasil 
j: j 
licensing: licensing 
motif: motif 
sony: sony 
th: th 
others: others 
police: police 
turned: turned 
piece: piece 
say: say 
phourthelove: phourthelove 
ol: ol 
preacher: preacher 
change: change changes 
forum: forum 
lookin: lookin 
late: late 
bowl: bowl 
traducciones: traducciones 
tye: tye 
vice: vices 
said: said 
inside: inside 
highlight: highlight 
glad: glad 
advertise: advertise 
toward: toward 
ai: aises ais 
conversation: conversation 
many: many 
dawg: dawg 
additional: additional 
forty: forty 
add: add 
saying: saying 
specific: specific 
swedish: swedish 
victim: victim 
cross: cross 
strong: strong 
trip: trips 
hearing: hearings 
understand: understand 
solution: solution 
guide: guide 
rather: rather 
create: create 
chord: chords 
mourn: mourn 
fabolous: fabolous 
please: please 
twitter: twitter 
ab: ab 
chanted: chanted 
approach: approach 
boom: boom 
blood: blood 
promote: promote 
hip: hip 
copyright: copyright 
job: jobs 
biggest: biggest 
cadence: cadences 
dogg: dogg 
bold: bold 
hood: hood 
berry: berry 
provide: provide 
bada: bada 
complexion: complexion 
f: f 
nazareth: nazareth 
gq: gq 
rest: rest 
chappell: chappell 
proved: proved 
bobii: bobii 
terrace: terrace 
contact: contact 
situation: situation 
black: blacks black 
responds: responds 
em: em 
similar: similar 
williams: williams 
instead: instead 
ml: ml 
american: americans 
also: also 
anderson: anderson 
get: get 
runnin: runnin 
came: came 
umaczenia: umaczenia 
kill: kill 
translation: translations translation 
traducci: traducci 
know: knows know 
sitting: sitting 
white: white 
lucy: lucy 
inhuman: inhuman 
au: aus 
fact: facts 
interlude: interlude 
halftime: halftime 
mantra: mantra 
resentment: resentment 
low: low 
cancel: cancel 
trap: trap 
echo: echoes 
z: z 
high: high 
record: record records 
controversial: controversial 
come: come 
complicated: complicated 
night: nights 
way: way ways 
failure: failures 
emi: emi 
new: new 
depression: depression 
look: look 
acre: acres 
damage: damage 
dumbfoundead: dumbfoundead 
made: made 
self: self 
racial: racial 
top: top 
lovin: lovin 
ali: ali 
abusing: abusing 
interscope: interscope 
term: terms 
polskie: polskie 
take: take 
screamin: screamin 
politics: politics 
lamar: lamar 
lord: lord 
joey: joey 
interpolate: interpolate 
whopper: whopper 
illegal: illegal 
god: god 
sit: sit 
hop: hop 
surface: surface 
keep: keep 
driving: driving 
statement: statement 
blow: blow 
trying: trying 
aise: aise 
embed: embed 
chinaski: chinaski 
winning: winning 
hustle: hustle 
sho: sho 
universal: universal 
ft: ft 
prather: prather 
aftermath: aftermath 
ever: ever 
progress: progress 
collaborated: collaborated 
african: african 
hot: hot 
lie: lie 
mortal: mortal 
ultimate: ultimate 
wrong: wrong wrongs 
like: like 
guy: guy 
distinguish: distinguish 
super: super 
folk: folks 
rvmzes: rvmzes 
smartly: smartly 
benjamin: benjamin 
cover: covers 
listener: listeners 
better: better 
piano: piano 
theory: theory 
hurt: hurt 
huh: huh 
trusting: trusting 
snoop: snoop 
thundercat: thundercat 
confidence: confidence 
thee: thee 
went: went 
source: source 
racism: racism 
sign: sign 
q: q 
day: day 
pop: pop 
r: r 
favorite: favorite 
bag: bag 
colin: colin 
thinking: thinking 
done: done 
tez: tez 
gun: gun 
bass: bass 
llc: llc 
award: awards 
activist: activists 
insight: insight 
working: working 
always: always 
expand: expand 
cry: crying 
regarding: regarding 
big: big 
recording: recording 
pain: pain 
april: april 
caine: caine 
great: great 
thgod: thgod 
yah: yah 
recognize: recognize 
problem: problem 
portuguese: portuguese 
mac: mac 
johniepee: johniepee 
repeating: repeating 
dark: dark 
marcus: marcus 
til: til 
love: love 
chevy: chevy 
find: find 
indifferent: indifferent 
wakefield: wakefield 
countless: countless 
publishing: publishing 
work: work 
sam: sam 
imagery: imagery 
soul: soul 
blige: blige 
date: date 
institutionalized: institutionalized 
libra: libra 
girl: girls 
digging: digging 
bick: bick 
c: c 
house: house 
allowing: allowing 
able: able 
trouble: troubles 
stres: stres 
conscious: conscious 
danitsa: danitsa 
march: march 
hitting: hitting 
logic: logic 
martin: martin 
dog: dog 
kwame: kwame 
weak: weak 
interview: interview 
h: h 
detailing: detailing 
individual: individual 
emerging: emerging 
hart: hart 
virtual: virtual 
tha: tha 
escape: escape 
certification: certifications 
cause: cause 
overcome: overcome 
togetha: togetha 
shoot: shoot 
dollar: dollar 
blacker: blacker 
four: four 
thus: thus 
hail: hail 
heart: heart 
poem: poem 
personal: personal 
transcription: transcription 
eminem: eminem 
chart: charts 
might: might 
ym: ym 
hard: hard 
pre: pre 
heaven: heaven 
gone: gone 
idea: idea 
moment: moment 
twilight: twilight 
lift: lift 
scat: scat 
mule: mule 
full: full 
expressing: expressing 
warner: warner 
highlighting: highlighting 
vocal: vocals 
abmi: abmi 
gettin: gettin 
sing: sing 
urbanist: urbanist 
lewis: lewis 
music: music 
l: l 
door: door 
butterfly: butterfly 
struggle: struggle 
protest: protest 
news: news 
global: global 
lee: lee 
live: live 
question: question 
producer: producer 
isi: isis 
chico: chico 
something: something 
instrument: instruments 
gotta: gotta 
drop: drop 
sparked: sparked 
shop: shop 
espa: espa 
feeling: feeling 
produced: produced 
learn: learn 
king: king 
car: car 
alls: alls 
flame: flame 
wanted: wanted 
verse: verse 
hotel: hotel 
young: young 
ap: ap 
exactly: exactly 
prince: prince 
scholar: scholars 
motherfucker: motherfucker 
fo: fo 
seen: seen 
despair: despair 
version: version 
entertainment: entertainment 
feed: feed 
jay: jay 
beat: beat 
atv: atv 
special: special 
