carly: carly 
isaac: isaac 
f: f 
everyone: everyone 
umaczenie: umaczenie 
old: old 
cover: cover covers 
adoboys: adoboys 
shirt: shirt 
chappell: chappell 
contact: contact 
em: em 
turkish: turkish 
squad: squad 
state: state 
compared: compared 
buddy: buddy 
ml: ml 
rollins: rollins 
art: art 
pluto: pluto 
tearz: tearz 
also: also 
ronald: ronald 
distributor: distributor 
get: get 
came: came 
stush: stush 
mean: mean 
umaczenia: umaczenia 
polski: polski 
translation: translations translation 
irving: irving 
hangin: hangin 
final: final 
bourgeois: bourgeois 
lf: lf 
neelo: neelo 
fact: facts 
fake: fake 
watchin: watchin 
compilation: compilation 
control: control 
gucci: gucci 
ho: ho 
chicken: chicken 
low: low 
nukchungxd: nukchungxd 
cancel: cancel 
trap: trap 
sed: sed 
race: race 
z: z 
singe: singe 
high: high 
come: come 
snakin: snakin 
kingtutweezy: kingtutweezy 
president: president 
lukach: lukach 
way: way 
kyyngg: kyyngg 
buda: buda 
hariel: hariel 
new: new 
beethoven: beethoven 
charted: charted 
bih: bih 
look: look 
craftin: craftin 
top: top 
cudi: cudi 
pulse: pulse 
da: da 
callin: callin 
rake: rakes 
ceejus: ceejus 
term: terms 
thought: thought 
polskie: polskie 
clone: clones 
refers: refers 
take: take 
hoe: hoes 
black: black 
brrah: brrah 
despacito: despacito 
original: original 
interpolate: interpolate 
jubilee: jubilee 
og: og 
smash: smash 
witcha: witcha 
whopper: whopper 
pan: pans 
god: god 
mala: mala 
drop: drops drop 
migos: migos 
vert: vert 
hop: hop 
keep: keep 
la: la 
nash: nash 
bounce: bounce 
sluttin: sluttin 
casting: casting 
dfill: dfill 
embed: embed 
disease: disease 
whole: whole 
first: first 
aeddre: aeddre 
axer: axer 
universal: universal 
ft: ft 
granpa: granpa 
time: time 
donald: donald 
ever: ever 
digital: digital 
coolest: coolest 
wait: wait 
blunt: blunt 
middle: middle 
collaborated: collaborated 
hot: hot 
dewan: dewan 
wow: wow 
since: since 
finger: finger 
well: well 
ultimate: ultimate 
comfort: comfort 
thin: thin 
william: william 
shoppin: shoppin 
mirikazizi: mirikazizi 
exhan: exhan 
cooler: cooler 
like: like 
distinguish: distinguish 
huncho: huncho 
zakdoe: zakdoe 
trust: trust 
million: million 
makin: makin 
hashana: hashana 
two: two 
gate: gate 
duckin: duckin 
scy: scy 
chillinit: chillinit 
whippin: whippin 
huh: huh 
fuck: fuck 
dababy: dababy 
halal: halal 
source: source 
fiz: fiz 
bath: bath 
sign: sign 
flyingkitty: flyingkitty 
brien: brien 
vii: vii 
matt: matt 
dat: dat 
gave: gave 
q: q 
day: day 
pop: pop 
r: r 
bag: bag 
count: count 
northside: northside 
herobust: herobust 
martian: martian 
gun: gun guns 
spanish: spanish 
critic: critics 
llc: llc 
quality: quality 
tape: tape 
jswizz: jswizz 
aagh: aagh 
insight: insight 
subway: subway 
ya: ya 
agane: agane 
always: always 
expand: expand 
adam: adam 
child: child 
intentional: intentional 
sheldon: sheldon 
big: big 
sad: sad 
secluded: secluded 
recording: recording 
feel: feel 
plus: plus 
nameless: nameless 
portuguese: portuguese 
amuly: amuly 
dave: dave 
holster: holster 
worryin: worryin 
mistake: mistake 
miyachi: miyachi 
repeating: repeating 
trappin: trappin 
track: track 
ken: ken 
minuten: minuten 
yrn: yrn 
teddy: teddy 
rc: rc 
ringtone: ringtone 
love: love 
hit: hit 
disstrack: disstrack 
jo: jo 
voodoo: voodoo 
publishing: publishing 
set: set 
aj: aj 
eloi: eloi 
witte: witte 
azerbaijani: azerbaijani 
drag: drag 
date: date 
skrrt: skrrt 
rudder: rudder 
send: send 
c: c 
reservoir: reservoir 
beef: beef 
megamix: megamix 
mikey: mikey 
fast: fast 
zmk: zmk 
cash: cash 
sadboy: sadboy 
ak: ak 
lmfao: lmfao 
sorry: sorry 
dog: dog 
color: colors 
mashup: mashup 
h: h 
stupid: stupid 
individual: individual 
stage: stage 
land: land 
cause: cause 
playin: playin 
shoot: shoot 
inzey: inzey 
taste: taste 
four: four 
week: weeks 
aaron: aaron 
ashtray: ashtray 
know: know 
personal: personal 
transcription: transcription 
eminem: eminem 
might: might 
dakoda: dakoda 
droppin: droppin 
vortex: vortex 
wojtu: wojtu 
heaven: heaven 
bougie: bougie 
yeah: yeah 
ent: ent 
dope: dope 
thot: thot 
toasty: toasty 
songz: songz 
jacuzzi: jacuzzi 
breath: breath 
warner: warner 
gangsta: gangsta 
elijah: elijah 
pvdilla: pvdilla 
gettin: gettin 
cimorelli: cimorelli 
bling: bling 
italian: italian 
music: music 
l: l 
really: really 
door: door 
muller: muller 
lee: lee 
mozart: mozart 
sinaia: sinaia 
carri: carri 
drive: drive 
live: live 
kid: kid 
xolani: xolani 
boujee: boujee 
foux: foux 
question: question 
clothes: clothes 
magic: magic 
war: war 
unc: unc 
shop: shop 
produced: produced 
learn: learn 
king: king 
flex: flex 
verse: verse 
young: young 
hotel: hotel 
maniac: maniac 
ivlover: ivlover 
royce: royce 
patricia: patricia 
ap: ap 
italiana: italiana 
ruthless: ruthless 
dj: dj 
zhu: zhu 
card: cards 
swenz: swenz 
scholar: scholars 
kind: kind 
fire: fire 
cook: cook 
hab: hab 
fuckin: fuckin 
interpolation: interpolations 
ploty: ploty 
as: ass 
version: version 
deen: deen 
saw: saw 
brick: brick 
scary: scary 
traduzioni: traduzioni 
entertainment: entertainment 
italiano: italiano 
dosseh: dosseh 
bone: bone 
