focused: focused 
said: said 
padrino: padrino 
inside: inside 
mantle: mantle 
mad: mad 
almighty: almighty 
paradox: paradox 
advertise: advertise 
many: many 
freeverse: freeverse 
dawg: dawg 
additional: additional 
add: add 
dim: dim 
nothing: nothing 
saying: saying 
dinos: dinos 
nader: nader 
halo: halo 
understand: understand 
guide: guide 
drefgold: drefgold 
dropping: dropping 
swear: swear 
atmosphere: atmosphere 
familia: familia 
mississauga: mississauga 
vein: vein 
son: son 
walker: walker 
segal: segal 
fabolous: fabolous 
ab: ab 
rapino: rapino 
nose: nose 
guilty: guilty 
yen: yen 
school: school 
ellie: ellie 
neagr: neagr 
promote: promote 
hip: hip 
kobalt: kobalt 
seriious: seriious 
copyright: copyright 
hundred: hundred 
biggest: biggest 
ny: ny 
quelly: quelly 
job: jobs 
bold: bold 
hood: hood 
isaac: isaac 
frikki: frikki 
tang: tang 
f: f 
bottom: bottom 
old: old 
rest: rest 
everywhere: everywhere 
chappell: chappell 
contact: contact 
curtismith: curtismith 
em: em 
mon: mon 
morning: morning 
nervous: nervous 
azure: azure 
ml: ml 
dom: dom 
brought: brought 
magna: magna 
rapping: rapping 
blaziny: blaziny 
also: also 
distributor: distributor 
get: get 
eye: eyes 
came: came 
became: became 
rza: rza 
management: management 
frik: frik 
jesus: jesus 
lotto: lotto 
ego: ego 
bugatti: bugatti 
reem: reem 
feeling: feelings feeling 
boi: boi 
church: church 
jag: jag 
doc: doc 
worldwide: worldwide 
fake: fake 
end: end 
fact: facts 
biggs: biggs 
growin: growin 
interlude: interlude 
sewchan: sewchan 
suntizil: suntizil 
andarti: andarti 
young: youngs young 
racist: racist 
gucci: gucci 
chris: chris 
cancel: cancel 
dirty: dirty 
meek: meek 
z: z 
high: high 
record: record records 
holy: holy 
come: come 
solar: solar 
mirror: mirrors 
ago: ago 
pineal: pineal 
noel: noel 
mode: mode 
turn: turn 
way: way 
authentic: authentic 
new: new 
jet: jet 
alert: alert 
look: look 
palman: palman 
made: made 
self: self 
da: da 
polaris: polaris 
fayan: fayan 
booth: booth 
term: terms 
without: without 
aka: aka 
east: east 
take: take 
black: black 
joey: joey 
sway: sway 
interpolate: interpolate 
whopper: whopper 
latinautor: latinautor 
wheel: wheel 
reunion: reunion 
god: god 
compound: compound 
hop: hop 
la: la 
happen: happen 
embed: embed 
men: men 
detail: detail 
universal: universal 
ft: ft 
worth: worth 
time: time 
last: last 
arrdee: arrdee 
hadash: hadash 
gambino: gambino 
calm: calm 
collaborated: collaborated 
hot: hot 
radio: radio 
three: three 
gatz: gatz 
since: since 
match: match 
ultimate: ultimate 
jungle: jungle 
cloud: cloud 
disco: disco 
ink: ink 
like: like 
guy: guy 
distinguish: distinguish 
super: super 
goulding: goulding 
million: million millions 
cover: covers 
two: two 
better: better 
romel: romel 
cmrra: cmrra 
follow: follow 
classic: classic 
spade: spade 
kanye: kanye 
fuck: fuck 
pound: pound 
frank: frank 
went: went 
generation: generation 
omri: omri 
teaforestfruit: teaforestfruit 
source: source 
leave: leave 
need: need 
sign: sign 
q: q 
champagne: champagne 
half: half 
gave: gave 
davis: davis 
sea: sea 
r: r 
nf: nf 
gimmick: gimmicks 
bag: bag 
dismissive: dismissive 
done: done 
behavior: behavior 
vibe: vibe 
martian: martian 
gun: gun 
spanish: spanish 
smith: smith 
machine: machine 
force: forces 
deck: deck 
gran: gran 
tilfall: tilfall 
llc: llc 
jimmy: jimmy 
insight: insight 
working: working 
marino: marino 
e: e 
couple: couple 
always: always 
expand: expand 
vino: vino 
big: big 
recording: recording 
sadek: sadek 
feel: feel 
talkin: talkin 
compliment: compliments 
daylyt: daylyt 
marea: marea 
nerve: nerve 
los: los 
repeating: repeating 
caution: caution 
track: track 
change: changes 
love: love 
millionaire: millionaires 
hold: hold 
roddy: roddy 
troca: troca 
work: work 
set: set 
teflon: teflon 
grc: grc 
soul: soul 
glory: glory 
smo: smo 
date: date 
cadastre: cadastre 
hancock: hancock 
girl: girls 
walked: walked 
rudder: rudder 
c: c 
finny: finny 
table: tables 
megamix: megamix 
able: able 
cash: cash 
maybach: maybach 
straight: straight 
dog: dog 
benzes: benzes 
h: h 
individual: individual 
cause: cause 
sg: sg 
playin: playin 
dollar: dollar 
itsunknownmf: itsunknownmf 
everybody: everybody 
four: four 
eric: eric 
method: method 
chartered: chartered 
know: know 
paved: paved 
stare: stare 
ji: ji 
zweinulleinsf: zweinulleinsf 
personal: personal 
transcription: transcription 
might: might 
dicky: dicky 
micel: micel 
honest: honest 
gone: gone 
idea: idea 
yeah: yeah 
ferraris: ferraris 
matthew: matthew 
daf: daf 
security: security 
mr: mr 
full: full 
warner: warner 
vocal: vocals 
raxion: raxion 
gettin: gettin 
usually: usually 
enjoy: enjoy 
finesse: finesse 
lewis: lewis 
gem: gems 
music: music 
bean: beans 
l: l 
news: news 
global: global 
mtv: mtv 
live: live 
kid: kid 
lag: lag 
moon: moon 
br: br 
dolo: dolo 
travis: travis 
question: question 
producer: producer 
something: something 
speak: speak 
drop: drop 
advice: advice 
sugar: sugar 
dressing: dressing 
yellow: yellow 
shop: shop 
produced: produced 
learn: learn 
morton: morton 
king: king 
saint: saint 
murder: murder 
motion: motion 
anthony: anthony 
hotel: hotel 
recorded: recorded 
chamillionaire: chamillionaire 
scholar: scholars 
card: cards 
drake: drake 
grail: grail 
fire: fire 
awaited: awaited 
aspire: aspire 
hub: hub 
dot: dot 
story: story 
interpolation: interpolations 
par: par 
guess: guess 
distance: distance 
entertainment: entertainment 
jay: jay 
pepe: pepe 
ill: ill 
