du: du 
royale: royale 
amor: amor 
australian: australian 
add: add 
saying: saying 
crew: crew 
hey: hey 
sorbet: sorbet 
blew: blew 
plum: plum 
understand: understand 
guide: guide 
ridin: ridin 
history: history 
wallace: wallace 
belt: belt 
son: son 
soda: soda 
chain: chains 
promote: promote 
hip: hip 
fucking: fucking 
consciousness: consciousness 
tale: tale 
job: jobs 
copyright: copyright 
beacon: beacon 
weave: weave 
ny: ny 
biggest: biggest 
bold: bold 
idle: idle 
f: f 
gq: gq 
contact: contact 
em: em 
sayin: sayin 
evenin: evenin 
breathes: breathes 
ml: ml 
mine: mine 
rattle: rattle 
also: also 
get: get 
came: came 
butter: butter 
relish: relish 
anaya: anaya 
nicki: nicki 
fact: facts 
end: end 
explained: explained 
ton: ton 
control: control 
thing: things 
aid: aid 
cancel: cancel 
range: range 
z: z 
come: come 
criticism: criticism 
mastering: mastering 
cream: cream 
new: new 
multidimensional: multidimensional 
look: look 
made: made 
self: self 
front: front 
pamper: pamper 
term: terms 
channel: channel 
chance: chance 
whopper: whopper 
puth: puth 
sit: sit 
hop: hop 
keep: keep 
kick: kick 
embed: embed 
whole: whole 
faggot: faggot 
first: first 
century: century 
goo: goo 
entire: entire 
rude: rude 
african: african 
hot: hot 
remark: remarks 
since: since 
ultimate: ultimate 
like: like 
distinguish: distinguish 
transformed: transformed 
two: two 
better: better 
tall: tall 
rapunxel: rapunxel 
fuck: fuck 
huh: huh 
betcha: betcha 
punch: punch 
source: source 
cable: cable 
chasing: chasing 
rapunzel: rapunzel 
sign: sign 
q: q 
unknown: unknown 
day: day 
pop: pop 
r: r 
synthwave: synthwave 
nigger: nigger 
gun: gun guns 
bass: bass 
llc: llc 
fabricated: fabricated 
insight: insight 
procrastinate: procrastinate 
ya: ya 
e: e 
usa: usa 
expand: expand 
fif: fif 
luxury: luxury 
waste: waste 
weneedtharain: weneedtharain 
caught: caught 
plus: plus 
dave: dave 
repeating: repeating 
premiere: premiere 
track: track 
love: love 
public: public 
lie: lies 
hit: hit 
marten: martens 
si: sis 
date: date 
food: food 
c: c 
house: house 
hun: hun 
compete: compete 
kutch: kutch 
amir: amir 
possession: possession 
cutie: cutie 
interview: interview 
h: h 
comparison: comparisons 
individual: individual 
single: single 
taste: taste 
article: article 
know: know 
personal: personal 
minaj: minaj 
transcription: transcription 
lick: lick 
chart: charts 
might: might 
hard: hard 
yeah: yeah 
dude: dude 
dis: diss 
mr: mr 
queer: queer 
full: full 
bbd: bbd 
beach: beach 
music: music 
miss: miss 
l: l 
bust: bust 
festival: festival 
question: question 
something: something 
drop: drop 
shop: shop 
produced: produced 
rarity: rarity 
learn: learn 
appear: appear 
sense: sense 
verse: verse 
tv: tv 
young: young 
recorded: recorded 
st: st 
patricia: patricia 
andr: andr 
scholar: scholars 
december: december 
fuckin: fuckin 
guess: guess 
as: ass 
treatin: treatin 
hatin: hatin 
jay: jay 
