eg: eg 
johnny: johnny 
sample: samples sample 
purpose: purpose 
press: press 
freestyle: freestyle 
cute: cute 
rap: rap 
swerve: swerve 
hatchback: hatchback 
programmer: programmer 
rep: reps 
tracey: tracey 
forever: forever 
lead: lead 
nasty: nasty 
u: u us 
verified: verified 
n: n 
network: network 
number: number 
madonna: madonna 
ritter: ritter 
g: g 
phone: phone 
shakiness: shakiness 
strictly: strictly 
bucket: bucket 
singing: singing 
knowledge: knowledge 
envious: envious 
jean: jeans 
city: city 
jibba: jibba 
dizaster: dizaster 
perfection: perfection 
death: death 
brasil: brasil 
licensing: licensing 
j: j 
assistant: assistant 
sony: sony 
life: life 
turned: turned 
doughnut: doughnuts 
oliver: oliver 
say: say 
ol: ol 
forum: forum 
late: late 
quentin: quentin 
traducciones: traducciones 
woman: women 
said: said 
advertise: advertise 
twin: twin 
additional: additional 
monologue: monologue 
add: add 
nothing: nothing 
polo: polos 
pushin: pushin 
understand: understand 
guide: guide 
history: history 
dropping: dropping 
trawick: trawick 
rockin: rockin 
popcaan: popcaan 
promote: promote 
copyright: copyright 
biggest: biggest 
bold: bold 
yuh: yuh 
isaac: isaac 
f: f 
witch: witch 
umaczenie: umaczenie 
contact: contact 
energy: energy 
em: em 
turkish: turkish 
serious: serious 
ml: ml 
jan: jan 
recording: recordings recording 
also: also 
distributor: distributor 
get: get 
runnin: runnin 
umaczenia: umaczenia 
management: management 
passenger: passenger 
translation: translations translation 
traducci: traducci 
eye: eye 
bugatti: bugatti 
boi: boi 
upon: upon 
fact: facts 
interlude: interlude 
athens: athens 
kno: kno 
reading: reading 
chris: chris 
cancel: cancel 
trap: trap 
z: z 
high: high 
record: record records 
solar: solar 
noel: noel 
mastering: mastering 
way: way 
cream: cream 
new: new 
look: look 
dumbfoundead: dumbfoundead 
made: made 
capo: capo 
top: top 
da: da 
ovo: ovo 
career: career 
sola: sola 
without: without 
gbe: gbe 
term: terms 
polskie: polskie 
holiday: holiday 
yungen: yungen 
fort: fort 
take: take 
black: black 
jodeci: jodeci 
original: original 
interpolate: interpolate 
latinautor: latinautor 
legend: legend 
warrior: warrior 
god: god 
yute: yute 
otha: otha 
dis: dis diss 
la: la 
dfill: dfill 
embed: embed 
allen: allen 
first: first 
poppin: poppin 
universal: universal 
named: named 
elated: elated 
ft: ft 
time: time 
fine: fine 
hot: hot 
three: three 
shortly: shortly 
bos: boss 
irrational: irrational 
ultimate: ultimate 
jungle: jungle 
like: like 
distinguish: distinguish 
cover: covers 
two: two 
syk: syk 
apology: apology 
mark: mark 
cmrra: cmrra 
shaky: shaky 
hurt: hurt 
kanye: kanye 
fuck: fuck 
uk: uk 
source: source 
fiz: fiz 
sign: sign 
justin: justin 
q: q 
stay: stay 
faneto: faneto 
r: r 
girbaud: girbaud 
gun: gun 
spanish: spanish 
machine: machine 
llc: llc 
gemitaiz: gemitaiz 
jimmy: jimmy 
jswizz: jswizz 
insight: insight 
deserve: deserve 
baka: baka 
always: always 
expand: expand 
definitely: definitely 
big: big 
must: must 
winnie: winnie 
talkin: talkin 
hazelton: hazelton 
designer: designer 
portuguese: portuguese 
repeating: repeating 
track: track 
glass: glass 
love: love 
hit: hit 
find: find 
subaru: subaru 
aj: aj 
backpack: backpacks 
soul: soul 
miller: miller 
greek: greek 
date: date 
cadastre: cadastre 
platinum: platinum 
rudder: rudder 
pythagoras: pythagoras 
c: c 
cash: cash 
urself: urself 
h: h 
individual: individual 
can: cans 
certification: certifications 
single: single 
thyself: thyself 
know: know 
personal: personal 
transcription: transcription 
chart: charts 
might: might 
iyrtitl: iyrtitl 
shell: shell 
yeah: yeah 
turnin: turnin 
haffi: haffi 
pasosh: pasosh 
think: thinks 
running: running 
vocal: vocals 
band: bands 
proud: proud 
bling: bling 
music: music 
coran: coran 
short: short 
l: l 
fake: fakes 
attributed: attributed 
global: global 
live: live 
travis: travis 
question: question 
baffled: baffled 
producer: producer 
drop: drop 
mada: mada 
yellow: yellow 
espa: espa 
shop: shop 
produced: produced 
learn: learn 
king: king 
sense: sense 
niko: niko 
verse: verse 
happened: happened 
young: young 
recorded: recorded 
scholar: scholars 
tinted: tinted 
drake: drake 
raindrop: raindrops 
dot: dot 
viva: viva 
interpolation: interpolations 
spot: spot 
guess: guess 
quadeca: quadeca 
muserk: muserk 
film: film 
version: version 
entertainment: entertainment 
beat: beat 
timberlake: timberlake 
