atlantic: atlantic 
tatto: tatto 
fact: facts 
matj: matj 
tribute: tribute 
athens: athens 
thing: things 
youtube: youtube 
low: low 
chris: chris 
cancel: cancel 
squint: squint 
esa: esa 
memorial: memorial 
z: z 
saudade: saudade 
record: record records 
flew: flew 
come: come comes 
dawn: dawn 
died: died 
isolados: isolados 
grew: grew 
wave: wave 
supposed: supposed 
turn: turn 
mastering: mastering 
way: way 
new: new 
look: look 
project: project 
quickly: quickly 
made: made 
hume: hume 
ali: ali 
term: terms 
without: without 
popularity: popularity 
east: east 
vin: vin 
hung: hung 
take: take 
payback: payback 
original: original 
standing: standing 
interpolate: interpolate 
whopper: whopper 
puth: puth 
vamos: vamos 
maynard: maynard 
hop: hop 
crashed: crashed 
picture: pictures picture 
la: la 
caren: caren 
aise: aise 
embed: embed 
first: first 
yukich: yukich 
universal: universal 
blnco: blnco 
ft: ft 
sophi: sophi 
time: time 
last: last 
hot: hot 
since: since 
azalea: azalea 
current: current 
ultimate: ultimate 
refrain: refrain 
wrong: wrong 
like: like 
gdfr: gdfr 
distinguish: distinguish 
avenue: avenue 
better: better 
various: various 
filthy: filthy 
piano: piano 
tove: tove 
huh: huh 
went: went 
source: source 
chasing: chasing 
sign: sign 
flyingkitty: flyingkitty 
q: q 
pop: pop 
r: r 
place: place 
vibe: vibe 
spanish: spanish 
llc: llc 
jimmy: jimmy 
tyga: tyga 
insight: insight 
farewell: farewell 
memory: memory 
always: always 
expand: expand 
minded: minded 
big: big 
sad: sad 
recording: recording 
feel: feel 
megan: megan 
great: great 
bibi: bibi 
horin: horin 
portuguese: portuguese 
omar: omar 
riddance: riddance 
repeating: repeating 
christian: christian 
established: established 
track: track 
sung: sung 
davy: davies 
love: love 
hit: hit 
hold: hold 
tragically: tragically 
family: family 
unreleased: unreleased 
publishing: publishing 
work: work 
set: set 
sam: sam 
passat: passat 
miller: miller 
greek: greek 
date: date 
girl: girls 
platinum: platinum 
dann: dann 
c: c 
hugo: hugo 
watched: watched 
opka: opka 
crossed: crossed 
march: march 
martin: martin 
mashup: mashup 
reached: reached 
h: h 
explaining: explaining 
individual: individual 
helewa: helewa 
certification: certifications 
volkswagen: volkswagen 
smoke: smoke 
everybody: everybody 
know: know 
personal: personal 
transcription: transcription 
eminem: eminem 
chart: charts 
might: might 
hard: hard 
ea: ea 
gone: gone 
yeah: yeah 
legend: legends 
brian: brian 
canadiana: canadiana 
moritz: moritz 
warner: warner 
running: running 
vocal: vocals 
cimorelli: cimorelli 
switch: switch 
sing: sing 
music: music 
l: l 
lee: lee 
live: live 
blah: blah 
question: question 
producer: producer 
something: something 
drop: drop 
sugar: sugar 
shop: shop 
feeling: feeling 
produced: produced 
learn: learn 
car: car 
motion: motion 
verse: verse 
schultz: schultz 
young: young 
drawn: drawn 
executive: executive 
skrinnik: skrinnik 
dj: dj 
scholar: scholars 
card: cards 
maroon: maroon 
viva: viva 
story: story 
film: film 
version: version 
billion: billion 
jay: jay 
