damn: damn 
header: headers 
next: next 
cizek: cizek 
ask: ask 
written: written 
performance: performance 
format: format 
vocalist: vocalists 
ball: ball 
developer: developers 
goostavo: goostavo 
carl: carl 
tv: tvs tv 
wifey: wifey 
spent: spent 
bmg: bmg 
phonographic: phonographic 
september: september 
director: director 
stevens: stevens 
remix: remix 
die: die 
pillies: pillies 
pull: pull 
rk: rk 
mixing: mixing 
electric: electric 
view: view 
style: style 
musical: musical 
visit: visit 
created: created 
billboard: billboard 
shit: shit 
psycho: psycho 
boomin: boomin 
cocaine: cocaine 
studio: studio studios 
jam: jam 
p: p 
play: play 
marroquin: marroquin 
ortega: ortega 
allstar: allstar 
mean: means 
month: months 
alfa: alfa 
allegro: allegro 
call: call 
medium: media 
ra: ra 
leandro: leandro 
leaked: leaked 
faster: faster 
broken: broken 
different: different 
united: united 
czech: czech 
feelin: feelin 
cop: cop 
star: star stars 
corotestar: corotestar 
rock: rock 
sheeran: sheeran 
yet: yet 
explorer: explorer 
jared: jared 
poslednji: poslednji 
video: videos video 
pant: pants 
talented: talented 
story: stories 
nigo: nigo 
featured: featured 
light: light 
flow: flow 
bore: bore 
bart: bart 
nut: nuts 
tag: tags 
grant: grants 
label: label 
parody: parody 
bri: bri 
appeared: appeared 
ascap: ascap 
actin: actin 
rockstar: rockstar 
job: job jobs 
unitytx: unitytx 
wap: wap 
al: al 
takin: takin 
got: got 
veslelia: veslelia 
tryna: tryna 
metro: metro 
julius: julius 
type: type 
whip: whip 
release: release 
b: b 
minecraft: minecraft 
rack: racks 
right: rights 
sofia: sofia 
askin: askin 
joe: joe 
prolly: prolly 
group: group 
hill: hills 
ronaldo: ronaldo 
bmi: bmi 
dines: dines 
together: together 
intro: intro 
french: french 
stream: streams 
ozuna: ozuna 
waxx: waxx 
green: green 
one: one 
x: x 
transcriber: transcribers 
undertaker: undertaker 
night: night 
earthtofatt: earthtofatt 
course: course 
rivera: rivera 
received: received 
track: tracks track 
peace: peace 
thousand: thousands 
policy: policy 
publisher: publisher 
ukrtrashdub: ukrtrashdub 
future: future 
dood: dood 
dk: dk 
cakin: cakin 
etc: etc 
sell: sell 
friend: friends friend 
austin: austin 
fran: fran 
took: took 
sneg: sneg 
schwarzer: schwarzer 
cristiano: cristiano 
jonestown: jonestown 
roba: roba 
kanashiro: kanashiro 
shot: shots 
summer: summer 
used: used 
annotation: annotation 
grab: grab 
listen: listen 
threw: threw 
blockhead: blockheads 
cama: cama 
adonis: adonis 
broke: broke 
goldstar: goldstar 
penning: penning 
drankin: drankin 
along: along 
morgenshtern: morgenshtern 
polish: polish 
finished: finished 
tank: tank 
henny: henny 
glace: glace 
lorenzo: lorenzo 
told: told 
desbarata: desbarata 
dongerlord: dongerlord 
genius: genius 
ethan: ethan 
scott: scott 
johnny: johnny 
nino: nino 
drakula: drakula 
sample: samples sample 
featuring: featuring 
year: year 
day: days 
preview: preview 
cinq: cinq 
press: press 
cut: cut 
nero: nero 
freestyle: freestyle 
pullin: pullin 
rap: rap 
blowin: blowin 
pt: pt 
reference: references 
mike: mike 
bersetzungen: bersetzungen 
programmer: programmer 
spoil: spoil 
gu: gus 
kaize: kaize 
mads: mads 
rasta: rasta 
korn: korn 
bull: bull 
u: u us 
krug: krug 
verified: verified 
n: n 
ultimately: ultimately 
eklad: eklad 
number: number 
safe: safe 
g: g 
holder: holder 
blame: blame 
candy: candy 
show: show 
knowledge: knowledge 
peu: peu 
artwork: artwork 
kochav: kochav 
jr: jr 
pocket: pocket 
genuine: genuine 
quad: quad 
make: make 
rytmus: rytmus 
finally: finally 
death: death 
bar: bars 
line: lines 
gold: gold 
licensing: licensing 
j: j 
sony: sony 
posting: posting 
th: th 
melo: melo 
chart: chart charts 
jim: jim 
guest: guest 
sent: sent 
pool: pool 
nederland: nederlands 
ta: tas ta 
vertalingen: vertalingen 
say: say 
ol: ol 
orlando: orlando 
grrra: grrra 
forum: forum 
camora: camora 
compare: compares 
lookin: lookin 
late: late 
manny: manny 
traducciones: traducciones 
mute: mute 
car: cars car 
said: said 
pourin: pourin 
advertise: advertise 
ai: aises ais 
dominio: dominio 
bentleys: bentleys 
dawg: dawg 
idris: idris 
malone: malone 
gmix: gmix 
add: add 
hundred: hundreds hundred 
hey: hey 
strong: strong 
sta: sta 
sweeter: sweeter 
coke: coke 
understand: understand 
joeybad: joeybad 
history: history 
guide: guide 
dynoro: dynoro 
familia: familia 
son: son 
gvo: gvo 
twitter: twitter 
fetty: fetty 
zirka: zirka 
promote: promote 
smokin: smokin 
jadakiss: jadakiss 
melody: melody 
morrison: morrison 
copyright: copyright 
fifteen: fifteen 
biggest: biggest 
bold: bold 
montage: montage 
spotify: spotify 
reese: reese 
dxkr: dxkr 
bada: bada 
photography: photography 
everyone: everyone 
old: old 
squeaky: squeaky 
cover: cover covers 
smb: smb 
umaczenie: umaczenie 
f: f 
rest: rest 
contact: contact 
girlfriend: girlfriend 
turkish: turkish 
extra: extra 
state: state 
squad: squad 
session: session 
popstar: popstar 
sayin: sayin 
felicimi: felicimi 
ml: ml 
brought: brought 
jamming: jamming 
raf: raf 
nutso: nutso 
trailer: trailer 
also: also 
get: get 
came: came 
became: became 
wall: wall 
played: played 
decade: decade 
polski: polski 
umaczenia: umaczenia 
translation: translations translation 
window: windows window 
traducci: traducci 
sex: sex 
goat: goats 
table: table 
eye: eye 
ilkay: ilkay 
close: close 
final: final 
feeling: feelings 
bersetzung: bersetzung 
kanbolex: kanbolex 
nicki: nicki 
fact: facts 
dutch: dutch 
interlude: interlude 
cancel: cancel 
dirty: dirty 
trap: trap 
leflow: leflow 
z: z 
record: record records 
kele: kele 
rok: rok 
nice: nice 
lukach: lukach 
mastering: mastering 
way: way 
emi: emi 
new: new 
posty: posty 
vincent: vincent 
made: made 
crisp: crisp 
dister: dister 
highly: highly 
top: top 
cuz: cuz 
january: january 
montana: montana 
da: da 
secret: secret 
ali: ali 
term: terms 
polskie: polskie 
hoe: hoes 
take: take 
black: black 
screamin: screamin 
original: original 
joey: joey 
cotton: cotton 
interpolate: interpolate 
og: og 
smash: smash 
rvssian: rvssian 
god: god 
ankor: ankor 
bryan: bryan 
drop: drops drop 
sencan: sencan 
dhali: dhali 
la: la 
livin: livin 
paranoid: paranoid 
bartolozzi: bartolozzi 
spratt: spratt 
aise: aise 
embed: embed 
bege: bege 
whole: whole 
first: first 
habit: habits 
poppin: poppin 
universal: universal 
ft: ft 
shape: shape 
daddy: daddy 
time: time 
homies: homies 
galaxy: galaxy 
sun: sun 
hot: hot 
rae: rae 
gas: gas 
farsi: farsi 
srb: srb 
dalex: dalex 
dreisig: dreisig 
well: well 
ultimate: ultimate 
zack: zack 
nine: nine 
cloud: cloud 
mirikazizi: mirikazizi 
like: like 
throwing: throwing 
distinguish: distinguish 
guy: guy 
super: super 
thugn: thugn 
million: million 
better: better 
highlight: highlights 
sremmurd: sremmurd 
parker: parker 
esk: esk 
diego: diego 
ljanmi: ljanmi 
chillinit: chillinit 
milestone: milestones 
apple: apple 
sick: sick 
retweets: retweets 
source: source 
leave: leave 
cardona: cardona 
sign: sign 
justin: justin 
q: q 
pop: pop 
stay: stay 
r: r 
place: place 
done: done 
gemini: gemini 
shaolin: shaolin 
vocal: vocal 
nicky: nicky 
jj: jj 
balboa: balboa 
spanish: spanish 
louis: louis 
shottas: shottas 
olam: olam 
cody: cody 
rucka: rucka 
llc: llc 
official: official 
award: awards 
insight: insight 
e: e 
wwa: wwa 
always: always 
expand: expand 
big: big 
sad: sad 
karlberg: karlberg 
recording: recording 
hahahahaha: hahahahaha 
feel: feel 
pain: pain 
superstar: superstars 
april: april 
weather: weather 
may: may 
haftbefehl: haftbefehl 
los: los 
repeating: repeating 
dark: dark 
teddy: teddy 
confirmed: confirmed 
til: til 
beerbongs: beerbongs 
revealed: revealed 
love: love 
bra: bra 
hit: hit 
andre: andre 
meme: meme 
publishing: publishing 
brzo: brzo 
greek: greek 
nur: nur 
date: date 
chrissy: chrissy 
girl: girls 
platinum: platinum 
wraith: wraith 
nik: nik 
c: c 
finny: finny 
reservoir: reservoir 
snack: snack 
megamix: megamix 
fast: fast 
march: march 
mashup: mashup 
makazu: makazu 
h: h 
individual: individual 
stage: stage 
single: single 
gallo: gallo 
smoke: smoke 
bell: bell 
contribution: contributions 
vibing: vibing 
previous: previous 
lifestyle: lifestyle 
apart: apart 
know: know 
tr: tr 
heart: heart 
personal: personal 
minaj: minaj 
panika: panika 
transcription: transcription 
emil: emil 
might: might 
bozzi: bozzi 
hard: hard 
tg: tg 
jaguar: jaguar 
dylan: dylan 
yeah: yeah 
dude: dude 
aiono: aiono 
matthew: matthew 
brother: brothers 
list: list 
nocturnal: nocturnal 
breath: breath 
esky: esky 
switch: switch 
sing: sing 
music: music 
l: l 
door: door 
really: really 
dar: dar 
lv: lv 
strykt: strykt 
global: global 
outta: outta 
nava: nava 
live: live 
kid: kid 
travis: travis 
question: question 
mafia: mafia 
producer: producer 
silver: silver 
sugar: sugar 
shop: shop 
espa: espa 
produced: produced 
learn: learn 
ian: ian 
perc: perc 
king: king 
miky: miky 
verse: verse 
woodz: woodz 
anthony: anthony 
young: young 
hotel: hotel 
maniac: maniac 
recorded: recorded 
storm: storms 
pomme: pomme 
dj: dj 
wiktor: wiktor 
coeur: coeur 
scholar: scholars 
se: se 
fire: fire 
klinac: klinac 
december: december 
tart: tart 
fuckin: fuckin 
interpolation: interpolations 
spot: spot 
guess: guess 
scratch: scratch 
version: version 
slaughter: slaughter 
otherside: otherside 
deen: deen 
entertainment: entertainment 
cozy: cozy 
billion: billion 
atv: atv 
