atlantic: atlantic 
flockmix: flockmix 
tryna: tryna 
melii: melii 
clean: clean 
type: type 
whip: whip 
b: b 
release: release 
fee: fee 
buck: buck 
rule: rules 
ci: ci 
laquan: laquan 
right: rights 
prolly: prolly 
group: group 
bodakcheeba: bodakcheeba 
rave: rave 
tinvain: tinvain 
imaterial: imaterial 
krematorium: krematorium 
bmi: bmi 
intro: intro 
french: french 
bodakrella: bodakrella 
horse: horse 
bslime: bslime 
green: green 
ramon: ramon 
brown: brown 
x: x 
transcriber: transcribers 
freddie: freddie 
lardi: lardi 
received: received 
via: via 
vrais: vrais 
policy: policy 
publisher: publisher 
tamerlane: tamerlane 
offset: offset 
lonely: lonely 
alternative: alternative 
etc: etc 
sell: sell 
fran: fran 
kawaii: kawaii 
fxck: fxck 
flockin: flockin 
airplane: airplane 
dealz: dealz 
sanctuary: sanctuary 
blood: bloods 
summer: summer 
reminiscent: reminiscent 
bobby: bobby 
used: used 
annotation: annotation 
rucci: rucci 
broke: broke 
bet: bet 
case: case 
mixtapes: mixtapes 
bank: bank banks 
listening: listening 
tragic: tragic 
father: father 
best: best 
tank: tank 
richard: richard 
david: david 
jax: jax 
shaftizm: shaftizm 
genius: genius 
yahmir: yahmir 
scott: scott 
sample: samples sample 
nyck: nyck 
blue: blue 
press: press 
cut: cut 
lover: lover 
club: club 
wudak: wudak 
freestyle: freestyle 
mind: mind 
rap: rap 
ai: ai aises ais 
siri: siri 
title: title 
fellow: fellow 
shahar: shahar 
parodie: parodie 
upchurch: upchurch 
babe: babe 
opp: opp 
gon: gon 
swerzie: swerzie 
u: u us 
nasty: nasty 
mama: mama 
verified: verified 
hit: hits hit 
n: n 
safe: safe 
g: g 
tired: tired 
face: face 
phone: phone 
plastic: plastic 
futuristic: futuristic 
mixed: mixed 
hottest: hottest 
knowledge: knowledge 
bickenhead: bickenhead 
adi: adi 
lophiile: lophiile 
prouver: prouver 
make: make 
goal: goals 
death: death 
line: lines 
gold: gold 
licensing: licensing 
j: j 
shoe: shoes 
sony: sony 
life: life 
attitude: attitude 
nikeninja: nikeninja 
brathwaite: brathwaite 
boo: boo 
nederland: nederlands 
vertalingen: vertalingen 
choose: choose 
pr: pr 
say: say 
poetic: poetic 
ol: ol 
fond: fond 
quick: quick 
cheap: cheap 
forum: forum 
manny: manny 
traducciones: traducciones 
rodrigo: rodrigo 
sauce: sauce 
said: said 
mad: mad 
jun: jun 
advertise: advertise 
add: add 
tana: tana 
ulmansky: ulmansky 
duzz: duzz 
august: august 
steak: steak 
dean: dean 
understand: understand 
guide: guide 
rollie: rollie 
trawick: trawick 
trap: traps trap 
drip: drip 
react: react 
washpoppin: washpoppin 
gibbs: gibbs 
promote: promote 
hip: hip 
roll: rolls 
ward: ward 
kobalt: kobalt 
copyright: copyright 
job: jobs 
biggest: biggest 
ny: ny 
bold: bold 
zhavia: zhavia 
f: f 
messiah: messiah 
crib: crib 
chappell: chappell 
contact: contact 
turn: turns 
em: em 
male: male 
state: state 
botei: botei 
slime: slime 
granny: granny 
mami: mami 
ml: ml 
mcphillip: mcphillip 
arrove: arrove 
also: also 
piracy: piracy 
distributor: distributor 
get: get 
came: came 
trunk: trunk 
translation: translations translation 
traducci: traducci 
paid: paid 
cordae: cordae 
eian: eian 
hello: hello 
white: white 
recap: recap 
nicki: nicki 
fact: facts 
end: end 
dutch: dutch 
klenord: klenord 
thing: things 
cancel: cancel 
z: z 
singe: singe 
come: come 
brings: brings 
mastering: mastering 
way: way 
new: new 
look: look 
party: party 
front: front 
millie: millie 
top: top 
critch: critch 
da: da 
portman: portman 
careful: careful 
montana: montana 
julia: julia 
mix: mix 
fill: fill 
term: terms 
sola: sola 
hoe: hoes 
black: black 
tune: tunes 
joey: joey 
skinned: skinned 
interpolate: interpolate 
whopper: whopper 
god: god 
migos: migos 
picture: pictures picture 
la: la 
laurent: laurent 
checked: checked 
comfortable: comfortable 
aise: aise 
embed: embed 
first: first 
bang: bang 
jlatrel: jlatrel 
universal: universal 
ft: ft 
jello: jello 
time: time 
saul: saul 
rien: rien 
african: african 
hot: hot 
aguiar: aguiar 
dancefloor: dancefloor 
ynw: ynw 
since: since 
bos: boss 
ultimate: ultimate 
william: william 
lake: lake 
like: like 
danielle: danielle 
distinguish: distinguish 
collective: collective 
cover: covers 
two: two 
fefe: fefe 
num: num 
omgitsguppey: omgitsguppey 
bojack: bojack 
gate: gate 
dollaz: dollaz 
fuck: fuck 
dababy: dababy 
kactus: kactus 
royal: royal 
forgot: forgot 
source: source 
need: need 
hand: hand 
sign: sign 
yeezy: yeezy 
q: q 
stay: stay 
pop: pop 
diva: diva 
r: r 
bag: bag 
colin: colin 
gemini: gemini 
spanish: spanish 
flake: flakes 
yves: yves 
fogo: fogo 
pistol: pistol 
llc: llc 
jimmy: jimmy 
fixed: fixed 
hopsin: hopsin 
kennedy: kennedy 
insight: insight 
working: working 
e: e 
gee: gee 
expand: expand 
recording: recording 
feel: feel 
hnm: hnm 
haftbefehl: haftbefehl 
repeating: repeating 
caution: caution 
track: track 
til: til 
revealed: revealed 
love: love 
find: find 
family: family 
publishing: publishing 
work: work 
natalie: natalie 
peerless: peerless 
date: date 
wraith: wraith 
platinum: platinum 
c: c 
fast: fast 
ak: ak 
dreamdoll: dreamdoll 
blade: blade 
signing: signing 
mashup: mashup 
interview: interview 
h: h 
individual: individual 
hydraulic: hydraulic 
jewerly: jewerly 
certification: certifications 
single: single 
playin: playin 
smoke: smoke 
know: know 
glitter: glitter 
perfect: perfect 
personal: personal 
bartier: bartier 
minaj: minaj 
transcription: transcription 
jamieboy: jamieboy 
chart: charts 
might: might 
hard: hard 
object: object 
honest: honest 
laray: laray 
aiono: aiono 
stripper: stripper 
canadiana: canadiana 
dumb: dumb 
warner: warner 
record: records 
store: store 
nate: nate 
leslie: leslie 
music: music 
l: l 
live: live 
kept: kept 
br: br 
ethic: ethic 
bottom: bottoms 
question: question 
azul: azul 
producer: producer 
speak: speak 
gotta: gotta 
drop: drop 
frosted: frosted 
yellow: yellow 
espa: espa 
shop: shop 
produced: produced 
learn: learn 
saint: saint saints 
ring: ring 
carolinaa: carolinaa 
flame: flame 
wanted: wanted 
verse: verse 
rare: rare 
young: young 
recorded: recorded 
sarah: sarah 
bloody: bloody 
dj: dj 
scholar: scholars 
noe: noe 
viva: viva 
interpolation: interpolations 
klub: klub 
deadly: deadly 
mona: mona 
zin: zin 
version: version 
summerella: summerella 
entertainment: entertainment 
raphael: raphael 
jay: jay 
beat: beat 
bone: bone 
atv: atv 
