talk: talk talks 
italic: italics 
kendrick: kendrick 
lonely: lonely 
kirko: kirko 
etc: etc 
sell: sell 
tongue: tongue 
took: took 
honey: honey 
annotation: annotation 
canada: canada 
push: push 
mall: mall 
tune: tune 
genius: genius 
cadahia: cadahia 
criterion: criteria 
sample: samples sample 
featuring: featuring 
acting: acting 
juicy: juicy 
press: press 
five: five 
freestyle: freestyle 
pt: pt 
saweetie: saweetie 
nominated: nominated 
title: title 
long: long 
santa: santa 
yg: yg 
u: u us 
rebellious: rebellious 
announcing: announcing 
verified: verified 
n: n 
caused: caused 
number: number 
g: g 
photo: photo 
enhanced: enhanced 
mally: mally 
twenty: twenty 
leaf: leaf 
mil: mil 
room: room 
hyphy: hyphy 
condo: condo 
every: every 
knowledge: knowledge 
seven: seven 
sasha: sasha 
city: city 
make: make 
death: death 
licensing: licensing 
j: j 
assistant: assistant 
nipsey: nipsey 
life: life 
chart: chart charts 
surge: surge 
ymca: ymca 
sittin: sittin 
say: say 
mascot: mascot 
forum: forum 
drizzy: drizzy 
woman: women 
said: said 
advertise: advertise 
additional: additional 
add: add 
saying: saying 
crew: crew 
eastside: eastside 
understand: understand 
guide: guide 
whenever: whenever 
successful: successful 
deal: deal 
need: needs need 
weed: weed 
gram: grams 
popcaan: popcaan 
gibbs: gibbs 
london: london 
promote: promote 
hip: hip 
bonus: bonus 
sweet: sweet 
fucking: fucking 
la: las 
wish: wish 
job: jobs 
biggest: biggest 
copyright: copyright 
bold: bold 
f: f 
levine: levine 
crib: crib 
rest: rest 
becky: becky 
contact: contact 
energy: energy 
em: em 
biscayne: biscayne 
ml: ml 
alone: alone 
also: also 
buried: buried 
get: get 
mean: mean 
rickyrozay: rickyrozay 
paid: paid 
know: knows know 
code: code 
sitting: sitting 
body: body 
vega: vegas 
nicki: nicki 
fact: facts 
interlude: interlude 
lanez: lanez 
gucci: gucci 
cancel: cancel 
meek: meek 
dirty: dirty 
z: z 
marvins: marvins 
noel: noel 
tory: tory 
way: way 
new: new 
look: look 
sir: sir 
lathan: lathan 
bewhy: bewhy 
callin: callin 
da: da 
mix: mix 
refers: refers 
take: take 
lamar: lamar 
lord: lord 
interpolate: interpolate 
whopper: whopper 
smash: smash 
mixtape: mixtape 
general: general 
product: products 
god: god 
hop: hop 
margherita: margherita 
aventura: aventura 
embed: embed 
thang: thang 
bloodychuck: bloodychuck 
ft: ft 
time: time 
blunt: blunt 
fine: fine 
hot: hot 
mentor: mentor 
kalenna: kalenna 
hussle: hussle 
ultimate: ultimate 
tree: tree 
wrong: wrong 
like: like 
energizer: energizer 
distinguish: distinguish 
super: super 
million: million 
fuck: fuck 
wrist: wrist 
kano: kano 
source: source 
sign: sign 
q: q 
day: day 
r: r 
sleeping: sleeping 
jamm: jamm 
done: done 
selling: selling 
gun: gun 
spanish: spanish 
bass: bass 
llc: llc 
tunechi: tunechi 
ross: ross 
tyga: tyga 
insight: insight 
ya: ya 
studio: studios 
e: e 
always: always 
expand: expand 
adam: adam 
pio: pio 
parodied: parodied 
hell: hell 
recording: recording 
feel: feel 
mac: mac 
already: already 
repeating: repeating 
luke: luke 
track: track 
sexy: sexy 
love: love 
hit: hit 
ground: ground 
king: kings 
date: date 
c: c 
homage: homage 
cash: cash 
h: h 
stupid: stupid 
individual: individual 
cause: cause 
guarantee: guarantee 
everybody: everybody 
chubbs: chubbs 
solo: solo 
copy: copies 
personal: personal 
headline: headlines 
minaj: minaj 
transcription: transcription 
might: might 
hard: hard 
motto: motto 
yeah: yeah 
mr: mr 
sirota: sirota 
record: records 
gettin: gettin 
proud: proud 
anybody: anybody 
bling: bling 
brain: brain 
music: music 
l: l 
really: really 
live: live 
kid: kid 
question: question 
drop: drop 
sugar: sugar 
aww: aww 
shop: shop 
feeling: feeling 
produced: produced 
learn: learn 
chantarangsu: chantarangsu 
niko: niko 
verse: verse 
young: young 
recorded: recorded 
ukendt: ukendt 
dj: dj 
scholar: scholars 
drake: drake 
kind: kind 
holler: holler 
fuckin: fuckin 
interpolation: interpolations 
tore: tore 
fullest: fullest 
gadget: gadget 
version: version 
building: building 
audio: audio 
